;again;party1;party2;mp;loyal
1;Kábrt Tomáš;Obèané;KDU-ÈSL;0;0
2;Støechovskı Jan;Obèané;ANO 2011;0;0
3;Robenek Bronislav;Obèané;Zmìna;0;0
4;Bárta Vít;VV;Úsvit;1;0
5;Kukrle Marek;VV;HLVZHÙRU;0;0
6;Hora Jan;VV;Úsvit;0;0
7;Lexa Jiøí;VV;HLVZHÙRU;0;0
8;Peèmanová Zuzana;VV;SsÈR;0;0
9;Bayerová Lydie;VV;Úsvit;0;0
10;Èernı Petr;VV;SsÈR;0;0
11;Bakovskı Zdenìk;VV;Úsvit;0;0
12;Baudyš Jiøí;VV;KSÈM;0;0
13;Bakovskı Martin;VV;Úsvit;0;0
14;Vojtìch Jan;VV;Zmìna;0;0
15;Paulík Vladimír;VV;SPOZ;0;0
16;Foretník Pavel;VV;Úsvit;0;0
17;Dostál Martin;VV;TOP 09;0;0
18;Svetlik George;KONS;SsÈR;0;0
19;Rejman Martin;KONS;SsÈR;0;0
20;Bureš Tomáš;KONS;SsÈR;0;0
21;Belza Marek;KONS;SsÈR;0;0
22;Jarolímek Otto;KONS;SsÈR;0;0
23;Lukavec Josef;KONS;SsÈR;0;0
24;Cabal Jaroslav;KONS;SsÈR;0;0
25;Henek Pavel;KONS;SsÈR;0;0
26;Drápal Dan;KONS;KDU-ÈSL;0;0
27;Pøeslièka František;KONS;KAN;0;0
28;Koláø Jaromír;KONS;KAN;0;0
29;Hibsch David;KONS;HLVZHÙRU;0;0
30;Dolejš Jiøí;KSÈM;KSÈM;1;1
31;Semelová Marta;KSÈM;KSÈM;1;1
32;Gušlbauerová Dagmar;KSÈM;KSÈM;0;1
33;Petelík Jaromír;KSÈM;KSÈM;0;1
34;Briardová Helena;KSÈM;KSÈM;0;1
35;Èunátová Jana;KSÈM;KSÈM;0;1
36;Hudeèek Jiøí;KSÈM;KSÈM;0;1
37;Janouch Roman;KSÈM;KSÈM;0;1
38;Mouèková Miroslava;KSÈM;KSÈM;0;1
39;Skoupil Karel;KSÈM;KSÈM;0;1
40;Vostrá Miloslava;KSÈM;KSÈM;1;1
41;Klán Jan;KSÈM;KSÈM;1;1
42;Hubenı Pavel;KSÈM;KSÈM;0;1
43;Kudrna Luboš;KSÈM;KSÈM;0;1
44;Nekováøová Zuzana;KSÈM;KSÈM;0;1
45;Štefek Zdenìk;KSÈM;KSÈM;0;1
46;Peltan Rudolf;KSÈM;KSÈM;0;1
47;Švarc František;KSÈM;ODS;0;0
48;Hála Josef;KSÈM;KSÈM;0;1
49;Pavlíková Kateøina;KSÈM;KSÈM;0;1
50;Krajdl Martin;KSÈM;KSÈM;0;1
51;Hejduk Stanislav;KSÈM;KSÈM;0;1
52;Filip Vojtìch;KSÈM;KSÈM;1;1
53;Branı Petr;KSÈM;KSÈM;1;1
54;Nohavová Alena;KSÈM;KSÈM;0;1
55;Sedláèek Stanislav;KSÈM;KSÈM;0;1
56;Klapsia Vilém;KSÈM;KSÈM;0;1
57;Vytiska Tomeš;KSÈM;KSÈM;0;1
58;Dvoøák Luboš;KSÈM;KSÈM;0;1
59;Šidlo Karel;KSÈM;KSÈM;1;1
60;Valenta Jiøí;KSÈM;KSÈM;0;1
61;Švarcbek Josef;KSÈM;KSÈM;0;1
62;Rejfek Jan;KSÈM;KSÈM;0;1
63;Hlásek František;KSÈM;KSÈM;0;1
64;Hojda Pavel;KSÈM;KSÈM;1;1
65;Honcù Radomír;KSÈM;KSÈM;0;1
66;Stránská Eliška;KSÈM;KSÈM;0;1
67;Šenfeld Josef;KSÈM;KSÈM;1;1
68;Hubáèková Gabriela;KSÈM;KSÈM;1;1
69;Sedláèková Erika;KSÈM;KSÈM;0;1
70;Šenkıø Václav;KSÈM;KSÈM;0;1
71;Minárik František;KSÈM;KSÈM;0;1
72;Lhoták Vlastimil;KSÈM;KSÈM;0;1
73;Buldra Miloslav;KSÈM;KSÈM;0;1
74;Nétek Josef;KSÈM;KSÈM;0;1
75;Zíka Tomáš;KSÈM;KSÈM;0;1
76;Mackovík Stanislav;KSÈM;KSÈM;0;1
77;Klikarová Kateøina;KSÈM;KSÈM;0;1
78;Tita Miloš;KSÈM;KSÈM;0;1
79;Èíek Lukáš;KSÈM;KSÈM;0;1
80;Nováková Tajana;KSÈM;KSÈM;0;1
81;Marková Soòa;KSÈM;KSÈM;1;1
82;Lukášek Josef;KSÈM;KSÈM;0;1
83;iková Vìra;KSÈM;KSÈM;0;1
84;Fišer Jaroslav;KSÈM;KSÈM;0;1
85;Fülle Radim;KSÈM;KSÈM;0;1
86;ítková Jana;KSÈM;KSÈM;0;1
87;Kubù Pavel;KSÈM;KSÈM;0;1
88;Nìmec Petr;KSÈM;KSÈM;0;1
89;Vejmìlek Ladislav;KSÈM;KSÈM;0;1
90;Hodáè Pavel;KSÈM;KSÈM;0;1
91;Zahradníèek Josef;KSÈM;KSÈM;0;1
92;Oulehla Drahoslav;KSÈM;KSÈM;0;1
93;Vacek Petr;KSÈM;KSÈM;0;1
94;Hrdlièka Jindøich;KSÈM;KSÈM;0;1
95;Grebeníèek Miroslav;KSÈM;KSÈM;1;1
96;Pojeznı Ivo;KSÈM;KSÈM;0;1
97;Bouda Josef;KSÈM;KSÈM;0;1
98;Lahvièka Ján;KSÈM;KSÈM;0;1
99;Tesaøík Zdenìk;KSÈM;KSÈM;0;1
100;Fazor Jiøí;KSÈM;KSÈM;0;1
101;Nikolai Petr;KSÈM;SPOZ;0;0
102;Haller Ladislav;KSÈM;KSÈM;0;1
103;Hamala Milan;KSÈM;KSÈM;0;1
104;Hrozková Jaroslava;KSÈM;KSÈM;0;1
105;Èernı Alexander;KSÈM;KSÈM;1;1
106;Nekl Josef;KSÈM;KSÈM;1;1
107;Šlambor Jaroslav;KSÈM;KSÈM;0;1
108;Švec Zdenìk;KSÈM;KSÈM;0;1
109;Sumara Ivan;KSÈM;KSÈM;0;1
110;Raindl Miroslav;KSÈM;KSÈM;0;1
111;Veselı Kamil;KSÈM;KSÈM;0;1
112;Koníèek Vladimír;KSÈM;KSÈM;1;1
113;Lapèík Vítìzslav;KSÈM;KSÈM;0;1
114;Opravilová Esma;KSÈM;KSÈM;0;1
115;Èejka Josef;KSÈM;KSÈM;0;1
116;Blaek Antonín;KSÈM;KSÈM;0;1
117;Pìnèíková Marie;KSÈM;KSÈM;0;1
118;Procházka Jaroslav;KSÈM;KSÈM;0;1
119;Koneèná Kateøina;KSÈM;KSÈM;1;1
120;Halíková Milada;KSÈM;KSÈM;1;1
