;X;again;party1;party2;year1;loyal;switch;minor1;switchMiMa;switchMiMi;switchMaMa;switchMaMi;new2;mp
1;1;KuûÌlek Old¯ich;ODA;ODA;1992;1;0;0;0;0;0;0;0;1
2;2;Odehnal Martin;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
3;3;Mirka VladimÌr;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
4;4;Topinka Petr;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
5;5;KratochvÌl Miloslav;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
6;6;Cirnfus SlavomÌr;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
7;7;Mizerov· Ivana;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
8;8;Dobal Viktor;ODA;ODA;1992;1;0;0;0;0;0;0;0;1
9;9;Knob Vilibald;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
10;10;»eöka Roman;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
11;11;Bl·hovec Ji¯Ì;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
12;12;»erb·k Miroslav;ODA;ODA;1992;1;0;0;0;0;0;0;0;1
13;13;Kafka Jan;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
14;14;Ch·b Milan;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
15;15;Ledvinka Karel;ODA;ODA;1992;1;0;0;0;0;0;0;0;1
16;16;Kulka Duöan;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
17;17;DoskoËil Jan;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
18;18;N˝Ëov· VÌtÏzslava;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
19;19;Roudnick· Ji¯ina;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
20;20;KynËl Milan;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
21;21;Kamaryt Josef;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
22;22;Lojdov· Kate¯ina;ODA;ODA;1992;1;0;0;0;0;0;0;0;1
23;23;MenöÌk Karel;ODA;ODA;1992;1;0;0;0;0;0;0;0;0
24;24;Trojan ZdenÏk;»SSD;»SSD;1992;1;0;0;0;0;0;0;0;1
25;25;Gross Stanislav;»SSD;»SSD;1992;1;0;0;0;0;0;0;0;1
26;26;HavlÌËek Ivan;»SSD;»SSD;1992;1;0;0;0;0;0;0;0;0
27;27;Volfov· Jana;»SSD;»SSD;1992;1;0;0;0;0;0;0;0;0
28;28;TomËÌk Jan;»SSD;»SSD;1992;1;0;0;0;0;0;0;0;0
29;29;GubÌn Oleg;»SSD;»SSD;1992;1;0;0;0;0;0;0;0;0
30;30;V˝rut Karel;»SSD;»SSD;1992;1;0;0;0;0;0;0;0;0
31;31;MaÚ·sek Jaroslav;»SSD;»SSD;1992;1;0;0;0;0;0;0;0;0
32;32;P·cha Old¯ich;»SSD;»SSD;1992;1;0;0;0;0;0;0;0;0
33;33;Valeck˝ Miroslav;»SSD;»SSD;1992;1;0;0;0;0;0;0;0;0
34;34;Zeman Eduard;»SSD;»SSD;1992;1;0;0;0;0;0;0;0;1
35;35;Pr˘öa Ji¯Ì;»SSD;»SSD;1992;1;0;0;0;0;0;0;0;0
