;again;party1;party2;mp;loyal
1;Kužílek Oldøich;ODA;ODA;1;1
2;Odehnal Martin;ODA;ODA;0;1
3;Mirka Vladimír;ODA;ODA;0;1
4;Topinka Petr;ODA;ODA;0;1
5;Kratochvíl Miloslav;ODA;ODA;0;1
6;Cirnfus Slavomír;ODA;ODA;0;1
7;Mizerová Ivana;ODA;ODA;0;1
8;Dobal Viktor;ODA;ODA;1;1
9;Knob Vilibald;ODA;ODA;0;1
10;Èeška Roman;ODA;ODA;0;1
11;Bláhovec Jiøí;ODA;ODA;0;1
12;Èerbák Miroslav;ODA;ODA;1;1
13;Kafka Jan;ODA;ODA;0;1
14;Cháb Milan;ODA;ODA;0;1
15;Ledvinka Karel;ODA;ODA;1;1
16;Kulka Dušan;ODA;ODA;0;1
17;Doskoèil Jan;ODA;ODA;0;1
18;Nýèová Vítìzslava;ODA;ODA;0;1
19;Roudnická Jiøina;ODA;ODA;0;1
20;Kynèl Milan;ODA;ODA;0;1
21;Kamaryt Josef;ODA;ODA;0;1
22;Lojdová Kateøina;ODA;ODA;1;1
23;Menšík Karel;ODA;ODA;0;1
24;Trojan Zdenìk;ÈSSD;ÈSSD;1;1
25;Gross Stanislav;ÈSSD;ÈSSD;1;1
26;Havlíèek Ivan;ÈSSD;ÈSSD;0;1
27;Volfová Jana;ÈSSD;ÈSSD;0;1
28;Tomèík Jan;ÈSSD;ÈSSD;0;1
29;Gubín Oleg;ÈSSD;ÈSSD;0;1
30;Výrut Karel;ÈSSD;ÈSSD;0;1
31;Maòásek Jaroslav;ÈSSD;ÈSSD;0;1
32;Pácha Oldøich;ÈSSD;ÈSSD;0;1
33;Valecký Miroslav;ÈSSD;ÈSSD;0;1
34;Zeman Eduard;ÈSSD;ÈSSD;1;1
35;Prùša Jiøí;ÈSSD;ÈSSD;0;1
36;Brožík František;ÈSSD;ÈSSD;1;1
37;Prùša Josef;ÈSSD;ÈSSD;0;1
38;Straka Jaroslav;ÈSSD;ÈSSD;0;1
39;Matìcha Miroslav;ÈSSD;ÈSSD;0;1
40;Foldyna Jaroslav;ÈSSD;ÈSSD;0;1
41;Farmaèka Jaroslav;ÈSSD;ÈSSD;0;1
42;Èevela Rostislav;ÈSSD;ÈSSD;0;1
43;Novotný Milan;ÈSSD;ÈSSD;0;1
44;Bøezina Jiøí;ÈSSD;ÈSSD;0;1
45;Grulich Václav;ÈSSD;ÈSSD;1;1
46;Škromach Zdenìk;ÈSSD;ÈSSD;0;1
47;Jašek Pavel;ÈSSD;ÈSSD;0;1
48;Vymìtal Vojtìch;ÈSSD;ÈSSD;0;1
49;Kinzel Ivan;ÈSSD;ÈSSD;0;1
50;Václavek Jiøí;ÈSSD;ÈSSD;0;1
51;Prášek Jiøí;ÈSSD;ÈSSD;0;1
52;Vetchý Vladimír;ÈSSD;ÈSSD;0;1
53;Fischerová Eva;ÈSSD;ÈSSD;1;1
54;Košík Lubomír;ÈSSD;ÈSSD;0;1
55;Køeèek Stanislav;HSD-SMS;ÈSSD;0;0
56;Kmenta Josef;HSD-SMS;CAO;0;0
57;Brech Petr;HSD-SMS;LB;0;0
58;Kraus Michal;HSD-SMS;ÈSSD;1;0
59;Polách Jan;HSD-SMS;SDL;0;0
60;Skoèovský Miloš;HSD-SMS;ÈMUS;1;0
61;Jegla Jan;HSD-SMS;ÈMUS;1;0
62;Kavan Petr;HSD-SMS;HSMSMNSJ;1;0
63;Štambera Dalibor;HSD-SMS;ÈMUS;1;0
64;Doèkal Vítìzslav;HSD-SMS;HSMSMNSJ;0;0
65;Katròák Josef;HSD-SMS;MNS-HSS;0;0
66;Dresler Rudolf;HSD-SMS;HSMSMNSJ;0;0
67;Žemla Jaroslav;HSD-SMS;ÈMUS;0;0
68;Rudinský František;HSD-SMS;HSMSMNSJ;0;0
69;Opatøil Rudolf;HSD-SMS;ÈMUS;1;0
70;Kaèenka František;HSD-SMS;ÈMUS;1;0
71;Broulík Jaroslav;HSD-SMS;ÈMUS;1;0
72;Hubová Marta;HSD-SMS;ODA;1;0
73;Kolomazník Karel;HSD-SMS;ÈMUS;0;0
74;Alt Vladimír;HSD-SMS;ÈMUS;0;0
75;Koníèek Josef;HDŽJ;DŽJ;0;0
76;Malkovská Zdeòka;HDŽJ;DŽJ;0;0
77;Pauer Jaroslav;NSS-ÈSNS;SD-LSNS;0;0
78;Sušický Jiøí;NSS-ÈSNS;PB;0;0
79;Kylián Josef;NSS-ÈSNS;ODA;0;0
80;Ruprich Vít;D92;ODA;0;0
81;Zemánek Richard;SRNDJ;DEU;0;0
82;Decker Jan;KDU-ÈSL;KDU-ÈSL;1;1
83;Janeèek Josef;KDU-ÈSL;KDU-ÈSL;1;1
84;Strnadel Tomáš;KDU-ÈSL;KDU-ÈSL;0;1
85;Sova Karel;KDU-ÈSL;KDU-ÈSL;0;1
86;Blažek Jiøí;KDU-ÈSL;KDU-ÈSL;0;1
87;Bøicháèek Petr;KDU-ÈSL;KDU-ÈSL;0;1
88;Volenec Václav;KDU-ÈSL;KDU-ÈSL;0;1
89;Hájek Milan;KDU-ÈSL;KDU-ÈSL;0;1
90;Plánièka Pavel;KDU-ÈSL;KDU-ÈSL;0;1
91;Málek Jiøí;KDU-ÈSL;KDU-ÈSL;0;1
92;Bureš Jan;KDU-ÈSL;KDU-ÈSL;0;1
93;Výborný Miloslav;KDU-ÈSL;KDU-ÈSL;1;1
94;Severa Pavel;KDU-ÈSL;KDU-ÈSL;1;1
95;Málek Jan;KDU-ÈSL;KDU-ÈSL;0;1
