districtNumber;districtName;orderList;name;age;votes;nomParty
31;Hl.m.Praha;1;Mašek Ivan;44;5 876;ODA
31;Hl.m.Praha;2;Kuílek Oldøich;36;5 425;ODA
31;Hl.m.Praha;3;Špaèek Radim;33;3 592;ODA
31;Hl.m.Praha;4;Janskı Vladimír;40;3 768;ODA
31;Hl.m.Praha;5;Škaloud Radko;44;2 038;ODA
31;Hl.m.Praha;6;Klepek Tomáš;41;2 599;ODA
31;Hl.m.Praha;7;Fuchsová Šárka;33;2 233;ODA
31;Hl.m.Praha;8;Odehnal Martin;39;1 762;ODA
31;Hl.m.Praha;9;Šteffl Ondøej;38;4 562;ODA
31;Hl.m.Praha;10;Novák Ondøej;45;734;ODA
31;Hl.m.Praha;11;Plecitı Petr;22;1 870;ODA
31;Hl.m.Praha;12;Majerová Jiøina;49;1 245;ODA
31;Hl.m.Praha;13;Moravec Tomáš;31;1 023;ODA
31;Hl.m.Praha;14;Sychra Tomáš;44;1 284;ODA
31;Hl.m.Praha;15;Filgas Jaroslav;34;1 055;ODA
31;Hl.m.Praha;16;Mikeš Ladislav;37;552;ODA
31;Hl.m.Praha;17;Vlašanı Miroslav;46;348;ODA
31;Hl.m.Praha;18;Kaprálová Vìra;52;369;ODA
31;Hl.m.Praha;19;Rys Jiøí;44;614;ODA
31;Hl.m.Praha;20;Kozák Jaroslav;47;148;ODA
31;Hl.m.Praha;21;Medová Ivana;43;529;ODA
31;Hl.m.Praha;22;Koèicová Olga;58;1 034;ODA
31;Hl.m.Praha;23;Èekan Karel;49;338;ODA
31;Hl.m.Praha;24;Koutek Martin;40;583;ODA
31;Hl.m.Praha;25;Rais Josef;45;683;ODA
32;Støedoèeskı;1;Kalvoda Jan;39;32 382;ODA
32;Støedoèeskı;2;Šuman Vladimír;56;5 219;ODA
32;Støedoèeskı;3;Stadler Jiøí;60;3 050;ODA
32;Støedoèeskı;4;Mirka Vladimír;37;8 085;ODA
32;Støedoèeskı;5;Neubert Even;59;1 146;ODA
32;Støedoèeskı;6;Topinka Petr;31;3 344;ODA
32;Støedoèeskı;7;Èernı Ivan;45;1 724;ODA
32;Støedoèeskı;8;Roith Tomáš;45;1 895;ODA
32;Støedoèeskı;9;Franìk Vít;33;4 992;ODA
32;Støedoèeskı;10;Zítko Petr;44;3 222;ODA
32;Støedoèeskı;11;Klener Pavel;55;2 776;ODA
32;Støedoèeskı;12;Kratochvíl Miloslav;34;3 255;ODA
32;Støedoèeskı;13;Tesaøík Vladimír;61;1 119;ODA
32;Støedoèeskı;14;Kolumberskı Jiøí;32;564;ODA
32;Støedoèeskı;15;Šilhavá Vìra;45;2 719;ODA
32;Støedoèeskı;16;Janula Jaroslav;44;1 017;ODA
32;Støedoèeskı;17;Cirnfus Slavomír;46;1 859;ODA
32;Støedoèeskı;18;Gabriš Josef;35;405;ODA
32;Støedoèeskı;19;Kottová Marie;29;2 268;ODA
33;Jihoèeskı;1;Kubát Bohumil;36;1 871;ODA
33;Jihoèeskı;2;Šimák František;39;2 585;ODA
33;Jihoèeskı;3;Herda Jan;43;2 305;ODA
