districtNumber;districtName;orderList;name;age;votes;nomParty;;
31;Praha;1;Dienstbier Jiøí;59;3 611;SD-LSNS;;
31;Praha;2;Erhart Otakar;69;460;SD-LSNS;;
31;Praha;3;Øíha Martin;50;923;SD-LSNS;;
31;Praha;4;Semeckı Otto;63;667;SD-LSNS;;
31;Praha;5;Fiala Petr;43;856;SD-LSNS;;
31;Praha;6;Kubek Milan;28;1 032;SD-LSNS;;
31;Praha;7;Šedivá Kristina;56;286;SD-LSNS;;
31;Praha;8;Kuèera Michael;41;280;SD-LSNS;;
31;Praha;9;Trkal Viktor;67;174;SD-LSNS;;
31;Praha;10;Pauer Jaroslav;56;265;SD-LSNS;;
31;Praha;11;Grošpic Ivan;51;133;SD-LSNS;;
31;Praha;12;Smetanová Tamara;41;432;SD-LSNS;;
31;Praha;13;Mádr Ivo;53;121;SD-LSNS;;
31;Praha;14;Havlíèek Jaroslav;55;220;SD-LSNS;;
31;Praha;15;Jeníèek Jan;48;99;SD-LSNS;;
31;Praha;16;Macek Jan;65;91;SD-LSNS;;
31;Praha;17;Dousek Josef;49;135;SD-LSNS;;
31;Praha;18;Pondìlíèek Jiøí;31;115;SD-LSNS;;
31;Praha;19;Hanuš Miloslav;35;65;SD-LSNS;;
31;Praha;20;Stránskı Oldøich;55;77;SD-LSNS;;
31;Praha;21;Dvoøák Ivan;40;57;SD-LSNS;;
31;Praha;22;Vèelaø Jiøí;64;31;SD-LSNS;;
31;Praha;23;Tosek Lubomír;44;14;SD-LSNS;;
31;Praha;24;Svoboda František;43;35;SD-LSNS;;
31;Praha;25;Hubená Marcela;26;125;SD-LSNS;;
31;Praha;26;Klézl Zdenìk;39;256;SD-LSNS;;
31;Praha;27;Voboøil Petr;55;63;SD-LSNS;;
31;Praha;28;Šram Ondøej;26;50;SD-LSNS;;
31;Praha;29;Dolejš Pavel;33;54;SD-LSNS;;
31;Praha;30;Dienstbier Ondøej;53;209;SD-LSNS;;
31;Praha;31;Znamenáèek Josef;37;31;SD-LSNS;;
31;Praha;32;Salajka Karel;38;57;SD-LSNS;;
31;Praha;33;Babáèek Jan;51;23;SD-LSNS;;
31;Praha;34;Svìtlík Marek;51;76;SD-LSNS;;
31;Praha;35;Lhotskı Jiøí;69;32;SD-LSNS;;
31;Praha;36;Georgiev Robert;21;136;SD-LSNS;;
32;Støedoèeskı;1;Volenec Josef;55;443;SD-LSNS;;
32;Støedoèeskı;2;ák Václav;50;330;SD-LSNS;;
32;Støedoèeskı;3;Bodenlos Vavøinec;56;1 184;SD-LSNS;;
32;Støedoèeskı;4;Dienstbier Jiøí;27;1 668;SD-LSNS;;
32;Støedoèeskı;5;Veselı Josef;52;275;SD-LSNS;;
32;Støedoèeskı;6;Mertl Ivan;61;560;SD-LSNS;;
32;Støedoèeskı;7;Sojka Michal;31;391;SD-LSNS;;
32;Støedoèeskı;8;Marek Pavel;55;139;SD-LSNS;;
32;Støedoèeskı;9;Schovánek Pavel;48;324;SD-LSNS;;
32;Støedoèeskı;10;Houdek Alois;52;130;SD-LSNS;;
32;Støedoèeskı;11;Netíková Hana;64;268;SD-LSNS;;
32;Støedoèeskı;12;Kosinka Karel;64;129;SD-LSNS;;
32;Støedoèeskı;13;Køí Karel;51;203;SD-LSNS;;
32;Støedoèeskı;14;Ladra Pavel;51;173;SD-LSNS;;
32;Støedoèeskı;15;Rybáèek Jan;54;366;SD-LSNS;;
32;Støedoèeskı;16;Uhrová Zuzana;34;103;SD-LSNS;;
32;Støedoèeskı;17;Kolman Julius;50;92;SD-LSNS;;
32;Støedoèeskı;18;Pleskaè Zbyšek;70;133;SD-LSNS;;
32;Støedoèeskı;19;Kasalickı Ivan;44;130;SD-LSNS;;
32;Støedoèeskı;20;Døevíkovskı Jan;44;174;SD-LSNS;;
32;Støedoèeskı;21;Nìmeckı Miroslav;63;24;SD-LSNS;;
32;Støedoèeskı;22;Procházková Helena;62;75;SD-LSNS;;
32;Støedoèeskı;23;Spìváèková Anna;52;77;SD-LSNS;;
32;Støedoèeskı;24;Straka Julius;59;28;SD-LSNS;;
32;Støedoèeskı;25;Bubák Jiøí;45;68;SD-LSNS;;
32;Støedoèeskı;26;Marek Jaroslav;35;66;SD-LSNS;;
32;Støedoèeskı;27;Kebrle Vladimír;71;68;SD-LSNS;;
32;Støedoèeskı;28;Louckı Jan;44;61;SD-LSNS;;
32;Støedoèeskı;29;Dáòa Jan;62;57;SD-LSNS;;
32;Støedoèeskı;30;Milsimer Milan;42;39;SD-LSNS;;
33;Jihoèeskı;1;Tampír Miroslav;45;439;SD-LSNS;;
33;Jihoèeskı;2;Lasovskı Petr;59;264;SD-LSNS;;
33;Jihoèeskı;3;Novotnı Ladislav;33;388;SD-LSNS;;
33;Jihoèeskı;4;Lískovcová Vìra;48;554;SD-LSNS;;
33;Jihoèeskı;5;ák Jan;59;218;SD-LSNS;;
33;Jihoèeskı;6;Pancová Kateøina;25;391;SD-LSNS;;
33;Jihoèeskı;7;Pecháèek Karel;55;278;SD-LSNS;;
33;Jihoèeskı;8;Chlaò Miloslav;54;166;SD-LSNS;;
33;Jihoèeskı;9;Jiránek Miroslav;51;120;SD-LSNS;;
33;Jihoèeskı;10;Vokatı Jaroslav;41;139;SD-LSNS;;
33;Jihoèeskı;11;Païourek Jan;56;110;SD-LSNS;;
33;Jihoèeskı;12;Køivka Karel;55;68;SD-LSNS;;
33;Jihoèeskı;13;Koíšek Vladimír;51;115;SD-LSNS;;
33;Jihoèeskı;14;Tichava Vlastimil;49;87;SD-LSNS;;
33;Jihoèeskı;15;Šebele Jan;47;56;SD-LSNS;;
33;Jihoèeskı;16;Kubíèek Vojmír;32;107;SD-LSNS;;
33;Jihoèeskı;17;Zenkl Lumír;50;168;SD-LSNS;;
33;Jihoèeskı;18;Procházka Aleš;44;118;SD-LSNS;;
33;Jihoèeskı;19;Hudeèek Karel;53;63;SD-LSNS;;
