districtNumber;districtName;orderList;name;age;votes;nomParty;minor
31;Praha;1;Svoboda Cyril;41;7 815;KDU-ÈSL;0
31;Praha;2;Orel Jaroslav;46;2 895;KDU-ÈSL;0
31;Praha;3;Sokol Jan;62;6 004;KDU-ÈSL;0
31;Praha;4;Øíha Vladimír;49;1 455;KDU-ÈSL;0
31;Praha;5;Chodìra Oldøich;49;2 879;KDU-ÈSL;0
31;Praha;6;Doleal Aleš;28;456;KDU-ÈSL;0
31;Praha;7;Decker Jan;36;386;KDU-ÈSL;0
31;Praha;8;Makovièková Alexandra;31;444;KDU-ÈSL;0
31;Praha;9;Pechr Bohumil;47;259;KDU-ÈSL;0
31;Praha;10;Bruthans Jan;50;750;KDU-ÈSL;0
31;Praha;11;Duchek Karel;54;233;KDU-ÈSL;0
31;Praha;12;Barták Patrik;33;128;KDU-ÈSL;0
31;Praha;13;Czernı Jan;31;258;KDU-ÈSL;0
31;Praha;14;Kloud Karel;47;710;KDU-ÈSL;0
31;Praha;15;Øíhová Lıdia;49;399;KDU-ÈSL;0
31;Praha;16;Èulík Jiøí;46;211;KDU-ÈSL;0
31;Praha;17;Rattayová Vladimíra;53;442;KDU-ÈSL;0
31;Praha;18;Liška Otakar;61;65;KDU-ÈSL;0
31;Praha;19;Šmrha Václav;42;128;KDU-ÈSL;0
31;Praha;20;Nìmeèek Zbynìk;27;218;KDU-ÈSL;0
31;Praha;21;Katzer Eduard;50;39;KDU-ÈSL;0
31;Praha;22;Štemberk Jaroslav;37;114;KDU-ÈSL;0
31;Praha;23;Bartáková Michaela;29;369;KDU-ÈSL;0
31;Praha;24;Bouèková Bohuslava;53;157;KDU-ÈSL;0
31;Praha;25;Císaø Jakub;32;42;KDU-ÈSL;0
31;Praha;26;Homoláèová Vìra;46;92;KDU-ÈSL;0
31;Praha;27;Duchková Jana;53;92;KDU-ÈSL;0
31;Praha;28;Sunegha Tomáš;34;91;KDU-ÈSL;0
31;Praha;29;Novák Radek;22;59;KDU-ÈSL;0
31;Praha;30;Štìtina Jaroslav;24;63;KDU-ÈSL;0
31;Praha;31;Miller Miloš;29;23;KDU-ÈSL;0
31;Praha;32;Štìpánková Monika;26;73;KDU-ÈSL;0
31;Praha;33;Tomek Karel;57;49;KDU-ÈSL;0
31;Praha;34;Straka Vladislav;43;45;KDU-ÈSL;0
31;Praha;35;Láznièka Vladimír;44;59;KDU-ÈSL;0
31;Praha;36;Hodek Viktor;22;126;KDU-ÈSL;0
32;Støedoèeskı;1;Janeèek Josef;45;2 065;KDU-ÈSL;0
32;Støedoèeskı;2;Slavíèek Václav;52;1 135;KDU-ÈSL;0
32;Støedoèeskı;3;Øíèan Pavel;65;1 615;KDU-ÈSL;0
32;Støedoèeskı;4;Parkanová Vlasta;46;13 081;KDU-ÈSL;0
32;Støedoèeskı;5;Vondrášková Marie;39;750;KDU-ÈSL;0
32;Støedoèeskı;6;Vácha František;56;1 208;KDU-ÈSL;0
32;Støedoèeskı;7;Hloek Josef;44;1 082;KDU-ÈSL;0
32;Støedoèeskı;8;Rousek František;45;1 208;KDU-ÈSL;0
32;Støedoèeskı;9;Cholínskı Jan;32;371;KDU-ÈSL;0
32;Støedoèeskı;10;Andìl Václav;57;298;KDU-ÈSL;0
32;Støedoèeskı;11;Štorková Marie;51;560;KDU-ÈSL;0
32;Støedoèeskı;12;Špaèek Václav;34;281;KDU-ÈSL;0
32;Støedoèeskı;13;Langšádlová Helena;34;242;KDU-ÈSL;0
32;Støedoèeskı;14;Èíek Luboš;32;491;KDU-ÈSL;0
32;Støedoèeskı;15;Špaèek Václav;58;252;KDU-ÈSL;0
32;Støedoèeskı;16;Blecha Karel;43;382;KDU-ÈSL;0
32;Støedoèeskı;17;Strnadel Tomáš;41;330;KDU-ÈSL;0
32;Støedoèeskı;18;Chalupa František;62;268;KDU-ÈSL;0
32;Støedoèeskı;19;Holeková Jindøiška;62;357;KDU-ÈSL;0
32;Støedoèeskı;20;Sedláèek Tomáš;54;314;KDU-ÈSL;0
32;Støedoèeskı;21;Bayer Jaroslav;45;137;KDU-ÈSL;0
32;Støedoèeskı;22;Nezbeda František;50;171;KDU-ÈSL;0
32;Støedoèeskı;23;Králík Jiøí;50;86;KDU-ÈSL;0
32;Støedoèeskı;24;Køíek Jan;42;200;KDU-ÈSL;0
32;Støedoèeskı;25;Vrba Jiøí;43;84;KDU-ÈSL;0
32;Støedoèeskı;26;Horák Petr;25;144;KDU-ÈSL;0
32;Støedoèeskı;27;Marek Pavel;57;77;KDU-ÈSL;0
32;Støedoèeskı;28;Dolejší Petr;55;23;KDU-ÈSL;0
32;Støedoèeskı;29;Vacek Josef;38;758;KDU-ÈSL;0
32;Støedoèeskı;30;Štáf Jiøí;57;53;KDU-ÈSL;0
32;Støedoèeskı;31;Pejšová Xenie;53;467;KDU-ÈSL;0
33;Jihoèeskı;1;Talíø Jaromír;47;2 955;KDU-ÈSL;0
33;Jihoèeskı;2;Kalousek Miroslav;37;1 651;KDU-ÈSL;0
33;Jihoèeskı;3;Blaek Jiøí;36;1 561;KDU-ÈSL;0
33;Jihoèeskı;4;Vlasák Miroslav;50;1 969;KDU-ÈSL;0
33;Jihoèeskı;5;Malík Stanislav;49;1 451;KDU-ÈSL;0
33;Jihoèeskı;6;Houdek Jiøí;41;1 240;KDU-ÈSL;0
33;Jihoèeskı;7;Peroutka František;34;827;KDU-ÈSL;0
33;Jihoèeskı;8;Krejèí Eva;38;1 034;KDU-ÈSL;0
33;Jihoèeskı;9;Bøicháèek Petr;39;450;KDU-ÈSL;0
33;Jihoèeskı;10;Fuèík Václav;53;1 067;KDU-ÈSL;0
33;Jihoèeskı;11;Pípal Pavel;48;593;KDU-ÈSL;0
33;Jihoèeskı;12;Mazancová Jana;49;673;KDU-ÈSL;0
33;Jihoèeskı;13;Petr Petr;50;909;KDU-ÈSL;0
33;Jihoèeskı;14;Zasadil Jan;40;566;KDU-ÈSL;0
33;Jihoèeskı;15;Talíøová Štìpánka;39;520;KDU-ÈSL;0
33;Jihoèeskı;16;Hynek Lubor;43;427;KDU-ÈSL;0
33;Jihoèeskı;17;Vodièka Rudolf;38;215;KDU-ÈSL;0
33;Jihoèeskı;18;Fürst Karel;52;598;KDU-ÈSL;0
33;Jihoèeskı;19;Oberpfalzer Miloslav;39;341;KDU-ÈSL;0
33;Jihoèeskı;20;Rùièka Zdenìk;32;188;KDU-ÈSL;0
34;Západoèeskı;1;Lobkowicz Jaroslav;55;3 139;KDU-ÈSL;0
34;Západoèeskı;2;Koronthály Vladimír;47;941;KDU-ÈSL;0
34;Západoèeskı;3;Bílek Miloš;33;861;KDU-ÈSL;0
34;Západoèeskı;4;Tøesohlavı Jiøí;43;804;KDU-ÈSL;0
34;Západoèeskı;5;Jukl Jiøí;49;859;KDU-ÈSL;0
