districtNumber;districtName;orderList;name;acadTitle;age;nomParty;membParty;votes;votesShare
1;Hlavní mìsto Praha;1;Kukaèka Jan;;58;NDS;DSÈS;31;IV.95
1;Hlavní mìsto Praha;2;Veselı Vladimír;Ing. ;70;NDS;BEZPP;12;I.91
1;Hlavní mìsto Praha;3;Skalickı Vladislav;Ing. ;54;NDS;BEZPP;7;1.XI
1;Hlavní mìsto Praha;4;Janák Martin;;25;NDS;NDS;28;IV.47
1;Hlavní mìsto Praha;5;Kopeckı Vladimír;;68;NDS;BEZPP;2;0.31
1;Hlavní mìsto Praha;7;Kováøík Jan;;61;NDS;BEZPP;6;0.95
1;Hlavní mìsto Praha;8;Samec Martin;;30;NDS;BEZPP;13;2.VII
1;Hlavní mìsto Praha;9;Vainerová Helena;;54;NDS;BEZPP;4;0.63
1;Hlavní mìsto Praha;10;Severinová Jana;;64;NDS;NDS;3;0.47
1;Hlavní mìsto Praha;11;Chroustová Aneka;;72;NDS;NDS;0;0.00
1;Hlavní mìsto Praha;12;Pešek Michal;;23;NDS;BEZPP;7;1.XI
1;Hlavní mìsto Praha;13;Papeová Jana;;38;NDS;NDS;9;I.43
1;Hlavní mìsto Praha;14;Pechaèová Jana;;36;NDS;BEZPP;9;I.43
1;Hlavní mìsto Praha;15;Kubík Milan;;66;NDS;BEZPP;5;0.79
1;Hlavní mìsto Praha;16;Peterka Karel;;53;NDS;BEZPP;2;0.31
1;Hlavní mìsto Praha;17;Brauerová Jana;;50;NDS;BEZPP;2;0.31
1;Hlavní mìsto Praha;18;Vágnerová Dana;;40;NDS;BEZPP;3;0.47
1;Hlavní mìsto Praha;19;Nováková Jana;;28;NDS;BEZPP;3;0.47
1;Hlavní mìsto Praha;20;Chroust Miroslav;;78;NDS;BEZPP;1;0.15
2;Støedoèeskı;1;Šoler Jiøí;RNDr. CSc.;55;NDS;NDS;35;V.56
2;Støedoèeskı;2;Kmenta Josef;;59;NDS;BEZPP;7;1.XI
2;Støedoèeskı;3;Burešová Ludmila;MUDr. ;62;NDS;BEZPP;23;III.65
2;Støedoèeskı;4;elezník Zdenìk;;49;NDS;NDS;15;II.38
2;Støedoèeskı;5;Janák Karel;;49;NDS;NDS;8;I.27
2;Støedoèeskı;6;Špalková Nikol;;21;NDS;BEZPP;28;IV.45
2;Støedoèeskı;7;Kolek Pavel;;30;NDS;BEZPP;24;III.81
2;Støedoèeskı;8;Veselı Alois;;60;NDS;BEZPP;4;0.63
2;Støedoèeskı;9;Veselı Dalibor;;46;NDS;BEZPP;10;I.58
3;Jihoèeskı;1;Nìmeèek Martin;;22;NDS;BEZPP;14;8.IX
3;Jihoèeskı;2;Kukelková Alena;;47;NDS;BEZPP;7;4.IV
4;Plzeòskı;1;Jachan Karel;;62;NDS;BEZPP;24;VI.26
4;Plzeòskı;2;Janovcová Ilona;;40;NDS;BEZPP;7;I.82
4;Plzeòskı;3;Lukeš Josef;;46;NDS;BEZPP;20;V.22
4;Plzeòskı;4;Kubeš Vladimír;;73;NDS;BEZPP;6;I.56
4;Plzeòskı;5;Slavíková Irena;;31;NDS;BEZPP;15;III.91
4;Plzeòskı;6;Holub Josef;;66;NDS;BEZPP;6;I.56
4;Plzeòskı;7;Polák Vlastimil;;33;NDS;BEZPP;8;2.VIII
4;Plzeòskı;8;Pátek Kvìtoslav;;42;NDS;BEZPP;6;I.56
4;Plzeòskı;9;Šimek Jaroslav;;35;NDS;BEZPP;4;1.IV
4;Plzeòskı;10;Straková Kvìtoslava;;22;NDS;BEZPP;7;I.82
4;Plzeòskı;11;Vanìk Josef;;55;NDS;BEZPP;2;0.52
4;Plzeòskı;12;Pojkar Petr;;42;NDS;BEZPP;2;0.52
4;Plzeòskı;13;Kubešová Dana;;56;NDS;BEZPP;0;0.00
4;Plzeòskı;14;Zimová Ludmila;;52;NDS;BEZPP;0;0.00
4;Plzeòskı;15;Sielzeková Pavla;;35;NDS;BEZPP;0;0.00
4;Plzeòskı;16;Kuelíková Klára;;48;NDS;BEZPP;5;I.30
5;Karlovarskı;1;Semerád Norbert;;61;NDS;BEZPP;7;VII.52
5;Karlovarskı;2;Galas Vladimír;;24;NDS;NDS;12;XII.90
6;Ústeckı;1;Kopal Jan;;24;NDS;NDS;75;13.XI
6;Ústeckı;2;Holeèek Ludìk;;43;NDS;BEZPP;16;II.79
6;Ústeckı;3;Simmer Václav;Ing. ;61;NDS;BEZPP;8;I.39
6;Ústeckı;4;Pour Bohumil;;55;NDS;NDS;9;I.57
6;Ústeckı;5;Øimnáè František;PhDr. ;51;NDS;BEZPP;8;I.39
6;Ústeckı;6;Buøil Jan;;27;NDS;BEZPP;28;IV.89
6;Ústeckı;7;Rùièka Miroslav;;50;NDS;BEZPP;2;0.34
6;Ústeckı;8;Kadaš Josef;;52;NDS;BEZPP;3;0.52
6;Ústeckı;9;Kaše Karel;;47;NDS;NDS;6;1.IV
6;Ústeckı;10;Knop Petr;;53;NDS;BEZPP;3;0.52
6;Ústeckı;11;Tvrdík František;;52;NDS;BEZPP;4;0.69
6;Ústeckı;12;Netušilová Iva;;22;NDS;BEZPP;31;V.41
6;Ústeckı;13;ampach Jan;Ing. ;57;NDS;BEZPP;1;0.17
6;Ústeckı;14;Tvrdík Tomáš;;26;NDS;BEZPP;2;0.34
6;Ústeckı;15;Pítrová Radka;;48;NDS;BEZPP;0;0.00
6;Ústeckı;16;Pítr Josef;;55;NDS;BEZPP;0;0.00
7;Libereckı;1;Kadaš Pavel;;47;NDS;BEZPP;38;VIII.75
7;Libereckı;2;Dub Blaej;;49;NDS;NDS;13;II.99
7;Libereckı;3;Horèic Jan;;68;NDS;RU;10;II.30
7;Libereckı;4;Bursa Bohuslav;;58;NDS;BEZPP;6;I.38
7;Libereckı;5;Deyl Otakar;MUDr. ;47;NDS;RU;13;II.99
7;Libereckı;6;Èechák Jan;;45;NDS;BEZPP;7;I.61
7;Libereckı;7;Mandík Miroslav;Mgr. ;52;NDS;RU;11;II.53
7;Libereckı;8;Gotvald Josef;;55;NDS;BEZPP;7;I.61
7;Libereckı;9;Doèekal Antonín;;51;NDS;RU;29;VI.68
7;Libereckı;10;Gunczik Jan;;60;NDS;BEZPP;3;0.69
