districtNumber;districtName;orderList;name;age;nomParty;membParty;votes;votesShare;minor
1;Hl. m. Praha;1;Hannig Petr;60;SZR;SZR;157;7,69;1
1;Hl. m. Praha;2;Nìmec Vladimír;58;SZR;SZR;42;2,05;1
1;Hl. m. Praha;3;Janeèek Jaroslav;55;SZR;SZR;58;2,84;1
1;Hl. m. Praha;4;Èíla Ivan;54;SZR;SZR;13;0,63;1
1;Hl. m. Praha;5;Miluniæ Vladimír;65;SZR;BEZPP;41;2,01;1
1;Hl. m. Praha;6;Mikel Jaroslav;44;SZR;BEZPP;11;0,53;1
1;Hl. m. Praha;7;Eckstein Georg;55;SZR;BEZPP;5;0,24;1
1;Hl. m. Praha;8;Richterová Martina;39;SZR;SZR;40;1,96;1
1;Hl. m. Praha;9;Lizner Jaroslav;55;SZR;BEZPP;26;1,27;1
1;Hl. m. Praha;10;Kotyk Václav;56;SZR;SZR;12;0,58;1
1;Hl. m. Praha;11;Blaško Marek;29;SZR;BEZPP;6;0,29;1
1;Hl. m. Praha;12;Müller Jan;65;SZR;BEZPP;43;2,1;1
1;Hl. m. Praha;13;Veèeøová Anna;50;SZR;BEZPP;10;0,49;1
1;Hl. m. Praha;14;Franke Tomáš;33;SZR;BEZPP;23;1,12;1
1;Hl. m. Praha;15;Èíek Pavel;50;SZR;BEZPP;6;0,29;1
1;Hl. m. Praha;16;Vávra Vítìzslav;53;SZR;BEZPP;53;2,59;1
1;Hl. m. Praha;17;Oheim Miroslav;55;SZR;BEZPP;5;0,24;1
1;Hl. m. Praha;18;Kejhová Ivana;32;SZR;SZR;24;1,17;1
1;Hl. m. Praha;19;Müller Jiøí;53;SZR;BEZPP;5;0,24;1
1;Hl. m. Praha;20;Kašpar Tomáš;36;SZR;BEZPP;6;0,29;1
1;Hl. m. Praha;21;Šebesta Jiøí;41;SZR;BEZPP;3;0,14;1
1;Hl. m. Praha;22;Hloták Valdemar;64;SZR;BEZPP;7;0,34;1
1;Hl. m. Praha;23;Valentová Helena;54;SZR;BEZPP;25;1,22;1
1;Hl. m. Praha;24;Hanzlík Vladimír;59;SZR;BEZPP;6;0,29;1
1;Hl. m. Praha;25;Rùièka Zdislav;56;SZR;BEZPP;10;0,49;1
1;Hl. m. Praha;26;Baha Vladimír;57;SZR;BEZPP;2;0,09;1
1;Hl. m. Praha;27;Mezera Roman;37;SZR;SZR;6;0,29;1
1;Hl. m. Praha;28;Procházka Jindøich;49;SZR;SZR;2;0,09;1
1;Hl. m. Praha;29;Bašnı Lubomír;55;SZR;BEZPP;2;0,09;1
1;Hl. m. Praha;30;Topinka Jiøí;42;SZR;SZR;0;0;1
1;Hl. m. Praha;31;Vondráèek Václav;50;SZR;BEZPP;2;0,09;1
1;Hl. m. Praha;32;Hron Karel;32;SZR;BEZPP;2;0,09;1
1;Hl. m. Praha;33;Šnejdarová Michaela;31;SZR;BEZPP;10;0,49;1
1;Hl. m. Praha;34;Jirásek Oldøich;61;SZR;BEZPP;2;0,09;1
1;Hl. m. Praha;35;Bayerová Veronika;36;SZR;BEZPP;7;0,34;1
1;Hl. m. Praha;36;Sechovec Jiøí;50;SZR;BEZPP;5;0,24;1
2;Støedoèeskı;1;Slavickı Ivan;28;SZR;BEZPP;61;2,03;1
2;Støedoèeskı;2;Mareš Antonín;60;SZR;BEZPP;27;0,9;1
2;Støedoèeskı;3;Špírek Jindøich;44;SZR;BEZPP;11;0,36;1
2;Støedoèeskı;4;Fiala Jiøí;42;SZR;BEZPP;27;0,9;1
2;Støedoèeskı;5;Rejha Pavel;42;SZR;BEZPP;55;1,83;1
