districtNumber;districtName;orderList;name;age;nomParty;membParty;votes;votesShare
1;Hl. m. Praha;1;Zavadil Jaroslav;69;ÈSSD;BEZPP;7 991;9,66
1;Hl. m. Praha;2;Stupèuk Štìpán;37;ÈSSD;ÈSSD;3 209;3,88
1;Hl. m. Praha;3;Adámek František;58;ÈSSD;ÈSSD;2 492;3,01
1;Hl. m. Praha;4;Nováková Hana;55;ÈSSD;ÈSSD;3 231;3,9
1;Hl. m. Praha;5;Klíma Karel;37;ÈSSD;ÈSSD;2 478;2,99
1;Hl. m. Praha;6;Oubrechtová Miroslava;53;ÈSSD;ÈSSD;1 013;1,22
1;Hl. m. Praha;7;Škrak Pavol;62;ÈSSD;ÈSSD;411;0,49
1;Hl. m. Praha;8;Trková Jana;60;ÈSSD;ÈSSD;1 826;2,2
1;Hl. m. Praha;9;Beòák David;34;ÈSSD;ÈSSD;2 275;2,75
1;Hl. m. Praha;10;Petrus Roman;35;ÈSSD;ÈSSD;1 082;1,3
1;Hl. m. Praha;11;Marksová Michaela;44;ÈSSD;ÈSSD;3 283;3,97
1;Hl. m. Praha;12;Koskuba Jiøí;57;ÈSSD;ÈSSD;4 772;5,77
1;Hl. m. Praha;13;Svoboda Miroslav;51;ÈSSD;ÈSSD;1 392;1,68
1;Hl. m. Praha;14;Václavek Miroslav;58;ÈSSD;ÈSSD;1 000;1,2
1;Hl. m. Praha;15;Šplíchal Karel;66;ÈSSD;ÈSSD;2 117;2,56
1;Hl. m. Praha;16;Miffek Ondøej;31;ÈSSD;ÈSSD;965;1,16
1;Hl. m. Praha;17;Matonoha Drahoslav;56;ÈSSD;ÈSSD;927;1,12
1;Hl. m. Praha;18;Paclík Leoš;35;ÈSSD;ÈSSD;637;0,77
1;Hl. m. Praha;19;Zahradnickı Tomáš;34;ÈSSD;ÈSSD;1 677;2,02
1;Hl. m. Praha;20;Peštová Kateøina;30;ÈSSD;ÈSSD;1 401;1,69
1;Hl. m. Praha;21;Vaicová Marie;68;ÈSSD;ÈSSD;312;0,37
1;Hl. m. Praha;22;Krejèová Drahoslava;51;ÈSSD;ÈSSD;364;0,44
1;Hl. m. Praha;23;Majerová Lenka;69;ÈSSD;ÈSSD;557;0,67
1;Hl. m. Praha;24;Vohlídal Jiøí;37;ÈSSD;ÈSSD;868;1,04
1;Hl. m. Praha;25;Voráèek Emil;63;ÈSSD;ÈSSD;1 080;1,3
1;Hl. m. Praha;26;Hejkrlík Milan;35;ÈSSD;ÈSSD;834;1
1;Hl. m. Praha;27;Riedlbauchová ¼ubica;69;ÈSSD;ÈSSD;381;0,46
1;Hl. m. Praha;28;Vodák Bøetislav;60;ÈSSD;ÈSSD;227;0,27
1;Hl. m. Praha;29;Mandík Miloslav;47;ÈSSD;ÈSSD;2 375;2,87
1;Hl. m. Praha;30;Halová Hana;60;ÈSSD;ÈSSD;985;1,19
1;Hl. m. Praha;31;Vondráková Jiøina;62;ÈSSD;ÈSSD;339;0,41
