"","again","party1","party2"
"1","Hannig Petr","SZR","Suveren."
"2","Nìmec Vladimír","SZR","Suveren."
"3","Èíla Ivan","SZR","Suveren."
"4","Blaško Marek","SZR","Suveren."
"5","Franke Tomáš","SZR","Obèané"
"6","Vávra Vítìzslav","SZR","Suveren."
"7","Kašpar Tomáš","SZR","Suveren."
"8","Rejha Pavel","SZR","Suveren."
"9","Jandová Lenka","SZR","Suveren."
"10","Vorlová Alena","SZR","Suveren."
"11","Churáèek Jiøí","SZR","TOP 09"
"12","Pillmann František","SZR","Suveren."
"13","Kleèková Libuše","SZR","Suveren."
"14","Dolívková Jitka","SZR","Suveren."
"15","Hradecká Ilona","SZR","Suveren."
"16","Fišer Petr","SZR","Suveren."
"17","Grund Otakar","SZR","VV"
"18","Moèubová Simona","SZR","Suveren."
"19","Pajkrt Stanislav","SZR","Suveren."
"20","Neveèeøalová Vìra","SZR","Suveren."
"21","Obhlídal Zdenìk","SZR","Suveren."
"22","Kruík Vladimír","SZR","Suveren."
"23","Kotouèková Jana","SZR","SZ"
"24","Pırek Hubert","SZR","Suveren."
"25","Orel Ladislav","SZR","Suveren."
"26","Hatlapatková Vladimíra","SZR","Suveren."
"27","Stejskal Vladimír","SZR","Suveren."
"28","Kunetek Miloslav","SZR","Suveren."
"29","Bílská Jitka","SZR","Suveren."
"30","Šimèík Pavel","SZR","Suveren."
"31","Horniaková Alena","SZR","Suveren."
"32","Hájek Václav","SZR","Suveren."
"33","Vavrincová Mária","SZR","Suveren."
"34","Hamerskı Milan","LiRA","LIB"
"35","Kalenskı Lukáš","LiRA","LIB"
"36","Pilous Derek","LiRA","LIB"
"37","Sedláèek Marek","LiRA","Svobodní"
"38","Bahník Petr","PaS","Svobodní"
"39","Petøivalskı Jiøí","PaS","DSSS"
"40","Kindler Kryštof","PaS","Svobodní"
"41","Hanzlíèková Jana","PaS","KONS"
"42","Valeš Petr","PaS","Svobodní"
"43","Hoøejš Luboš","PaS","DSSS"
"44","Vrtík Jan","PaS","Svobodní"
"45","Kohlík František","PaS","Svobodní"
"46","Chvorinov Michal","PaS","Svobodní"
"47","Štìpánek Jiøí","PaS","DSSS"
"48","Hamet Tomáš","PaS","Svobodní"
"49","Mrúz Jaroslav","PaS","DSSS"
"50","Prokùpek Václav","PaS","DSSS"
"51","Schiller Petr","PaS","Svobodní"
"52","Pelák Vladimír","PaS","DSSS"
"53","Plocarová Alena","PaS","DSSS"
"54","Bursa Petr","PaS","DSSS"
"55","Michl Martin","PaS","DSSS"
"56","Øeøichová Jindøiška","PaS","DSSS"
"57","Tolarová Gabriela","PaS","DSSS"
"58","Blaško Jan","PaS","DSSS"
"59","Èervenka Miroslav","PaS","Svobodní"
"60","Burger Martin","PaS","Svobodní"
"61","Kotáb Petr","PaS","DSSS"
"62","Lipskı Jiøí","PaS","Svobodní"
"63","Doubrava Jaroslav","PaS","Svobodní"
"64","Èejka Jaromír","PaS","DSSS"
"65","ák Petr","PaS","Svobodní"
"66","Vostøel Petr","PaS","Svobodní"
"67","Nestler Jindøich","PaS","DSSS"
"68","Novotná Soòa","PaS","DSSS"
"69","Vandas Tomáš","PaS","DSSS"
"70","Kotáb Pavel","PaS","DSSS"
"71","Sedliská Mária","PaS","DSSS"
"72","Jirásek Vladimír","PaS","DSSS"
"73","Vítková Olga","PaS","DSSS"
"74","Køivánek Josef","PaS","DSSS"
"75","Procházka Antonín","PaS","Svobodní"
"76","Valterová Vìra","NEZ","Suveren."
"77","Kuèera Zdenìk","NEZ","SPOZ"
"78","Vinickı Ivan","NEZ","ÈSSD"
"79","Doubková Petra","NEZ","SPOZ"
"80","Filipová Alena","NEZ","Suveren."
"81","Dušek Antonín","NEZ","M"
"82","Nìmeèková Jana","NEZ","TOP 09"
"83","Koleèkáøová Blanka","NEZ","TOP 09"
"84","Hronec Ivan","NEZ","Suveren."
"85","Pecka Milan","NEZ","ODS"
"86","Ïurica Otto","NEZ","Suveren."
"87","Srb Václav","KÈ","""KÈ"""
"88","Jenèek Jindøich","KÈ","""KÈ"""
"89","Lieberzeit Michal","KÈ","""KÈ"""
"90","Pešek Jiøí Pavel","KÈ","KONS"
"91","Krátkı Petr","KÈ","""KÈ"""
"92","Drvota Jaromír","KÈ","""KÈ"""
"93","Šubrt Jiøí","KÈ","""KÈ"""
"94","Košek Vítìzslav","KÈ","""KÈ"""
"95","Mácha Slavomír","KÈ","""KÈ"""
"96","Procházka Pavel","KÈ","""KÈ"""
"97","Øepka Zdenìk","KÈ","""KÈ"""
"98","Kubeš Aleš","KÈ","""KÈ"""
"99","Boejovskı Jan","KÈ","""KÈ"""
"100","Benèok Michal","KÈ","""KÈ"""
"101","Jeík Vlastimil","KÈ","""KÈ"""
"102","Drnek Jan","KÈ","""KÈ"""
"103","Brachtel Oto","KÈ","""KÈ"""
"104","Šmejkal Aleš","KÈ","""KÈ"""
"105","Juriga Emil","KÈ","""KÈ"""
"106","Šmerda Daniel","KÈ","""KÈ"""
"107","Šmídová Rùena","KÈ","""KÈ"""
"108","Mrzílek Jan","KÈ","KONS"
"109","Holman Jakub","KÈ","KONS"
"110","Èíek Jiøí","KÈ","""KÈ"""
"111","Veleckı Luboš","KÈ","""KÈ"""
"112","Nohel Petr","KÈ","""KÈ"""
"113","Hoffej Josef","KÈ","""KÈ"""
"114","Novotná Marie Klotilda","KÈ","""KÈ"""
