source;target;number
DS (1994);HZDS (1998);1
DS (1994);SDK (1998);8
DS (1994);SOP (1998);4
DU (1994);MLHZP (1998);1
DU (1994);SDK (1998);19
HZDS (1994);HZDS (1998);59
HZDS (1994);SNS (1998);1
HZDS (1994);SOP (1998);1
KSS (1994);KSS (1998);46
KSS (1994);Nase Slovensko (1998);1
KSUS (1994);SLS (1998);3
KSUS (1994);SNS (1998);20
KSUS (1994);SOP (1998);1
KDH (1994);SDK (1998);31
KDH (1994);SNS (1998);1
MK (1994);SMK (1998);42
ROISR (1994);HZDS (1998);1
SNS (1994);SNJ (1998);2
SNS (1994);SNS (1998);40
SD (1994);HTC (1998);3
SD (1994);HZDS (1998);1
SV (1994);HZDS (1998);1
SV (1994);SDK (1998);10
SV (1994);SDL (1998);32
ZRS (1994);HZDS (1998);1
ZRS (1994);JSPS (1998);1
ZRS (1994);NAS (1998);3
ZRS (1994);Nase Slovensko (1998);1
ZRS (1994);ZRS (1998);16
