district,nomParty,listOrder,name,acadTitle,age,occupation,residency
5100  Hlavné mesto SR Bratislava,Demokratická strana,1,Pavol Prokopovič,,39,súkr. podnikateľ,Stropkov
5100  Hlavné mesto SR Bratislava,Demokratická strana,2,Igor Bartho,JUDr.,42,právnik,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,3,Jozef Gajdošík,,35,súkr.podnikateľ,Dolný Kubín
5100  Hlavné mesto SR Bratislava,Demokratická strana,4,Ján Pišút,Prof.,55,vysokoškol.prof.,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,5,Vladimír Mikuš,,42,súkr.podnikat.,Bratrislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,6,Michal Odrejčák,Doc.MUDr.,50,primár DNsP,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,7,Miroslav Baumann,,21,živnostník,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,8,Branislav Hochel,PhDr.,43,vysokoškol.učit.,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,9,Milan Jeck,,54,súkr.podnikat.,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,10,Peter Osuský,MUDr.,40,lekár-učiteľ,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,11,Adam Pastorek,,35,súkr.podnikat.,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,12,Peter Mattoš,,44,ekonóm,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,13,Peter Ebringer,,47,súkr.podnikat.,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,14,Koloman Prónay,Ing.,51,projektant,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,15,Marián Nemčík,Ing.,47,súkr.podnikat,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,16,Koloman Žiška,MUDr.,51,riad.poliklin.,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,17,Jozef Šködl,,39,súkr.podnikat.,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,18,Anna Ščepková,JUDr.,37,právnička,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,19,Vladimír Baranovič,,44,súkr.podnikat.,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,20,Tomáš Zálešák,,27,študent,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,21,Antonín Pašek,,42,živnostník,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,22,Anton Beleš,Ing.,55,starosta,Stupava
5100  Hlavné mesto SR Bratislava,Demokratická strana,23,Ľudmila Kozáková,,36,súkr.podnikat.,Pezinok
5100  Hlavné mesto SR Bratislava,Demokratická strana,24,Vladimír Pavle,Ing.,58,staveb.inžinier,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,25,Viola Pethová,,41,súkr.podnikat.,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,26,Zoltán Alaxa,JUDr.,36,advokát,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,27,Anton Kovačič,,56,živnostník,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,28,Ľubica Navrátilová,,48,námest.riad.NCI,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,29,Bohumír Krásný,,44,živnostník,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,30,Vladimír Palkovič,PhDr.,45,psychológ,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,31,Michal Pančo,,43,súkr.podnikat.,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,32,Jozef Vachálek,akad. sochár,50,sochár,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,33,Vlasta Dudová,,47,súkr.podnikat.,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,34,Júlia Margočová,Ing.,53,riaditeľka,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,35,Ľubomir Mojžíšek,Ing.,31,ekonóm,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,36,Jozef Minárik,,35,vodič,Žilina
5100  Hlavné mesto SR Bratislava,Demokratická strana,37,Igor Malinovský,,28,nám.riadit.SAV,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,38,Helena Hatalová,,52,podnikateľka,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,39,Ivan Kubáň,Ing.,45,súkr.podnikat.,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická strana,40,Juraj Kurutz,,34,manager,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,1,Milan Kňažko,,49,poslanec NR SR,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,2,Vladimír Bajan,Ing.,34,poslanec NR SR,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,3,František Kurej,Ing.,32,odborový predák,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,4,Alena Huťanová,JUDr.,39,právnička,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,5,Milan Janičina,JUDr.,45,minister,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,6,Zdena Grúberová,,60,herečka,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,7,Branislav Zahradník,,21,študent,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,8,Milada Dobrotková,Ing.,38,odborový predák,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,9,Dušan Nikodým,JUDr.  CSc.,64,poradca NR SR,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,10,František Hirja,Ing.,41,programátor,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,11,Jozef Košta,CSc.,45,porad.pred.vlády,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,12,Gabriela Nemkyová,,29,novinárka,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,13,Milan Beier,MUDr.,40,lekár,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,14,Dušan Kosík,Ing.,40,podnikateľ,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,15,Jozef Hrabina,RNDr.,32,jadrový fyzik,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,16,Ján Krajniak,Ing.,36,riaditeľ podniku,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,17,Alfred Nicholson,,38,poradca ministra,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,18,Ivan Rúčka,,41,ved.-výsk.prac.,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,19,Vladimír Černý,,43,herec,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,20,Dušan Roman,,51,podnikateľ,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,21,Milan Zemko,,50,riad.odb.KPSR,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,22,Albert Škarvan,Ing.,49,banský inžinier,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,23,Miroslav Čutka,Ing.,44,programátor,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,24,Martin Križan,Ing.,52,podnikateľ,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,25,Oľga Hirnerová,,51,manager,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,26,Karol Jarábek,MUDr.,44,lekár,Bratislava
5100  Hlavné mesto SR Bratislava,Demokratická únia Slovenska,27,Ján Meleg,,46,strážna služba,Bratislava
