nomPartyNumber,nomParty,listOrder,name1,name2,acadTitle,age,occupation,residency,membParty,name,minor
17,ANO,1,Pavol,Rusko,PhDr.,39,súkromný podnikateľ,Bratislava,ANO,Pavol Rusko,0
17,ANO,2,Ľubomír,Lintner,,53,novinár,Bratislava,ANO,Ľubomír Lintner,0
17,ANO,3,Ján,Drgonec,JUDr. DrSc.,50,advokát,Bratislava,ANO,Ján Drgonec,0
17,ANO,4,Eva,Černá,,38,novinárka,Bratislava,ANO,Eva Černá,0
17,ANO,5,Anton,Danko,Ing.,43,viceprimátor mesta,Poprad,ANO,Anton Danko,0
17,ANO,6,Imrich,Béreš,Ing.,40,ekonóm - finančník,Bratislava,ANO,Imrich Béreš,0
17,ANO,7,Robert,Nemcsics,Ing.,40,manažér,Bratislava,ANO,Robert Nemcsics,0
17,ANO,8,Rudolf,Zajac,MUDr.,51,lekár,Bratislava,BEZPP,Rudolf Zajac,0
17,ANO,9,Jirko,Malchárek,Ing.,36,poslanec NR SR,Bratislava,ANO,Jirko Malchárek,0
17,ANO,10,Rudolf,Chmel,doc. PhDr. DrSc.,63,literárny vedec,Bratislava,ANO,Rudolf Chmel,0
17,ANO,11,Jozef,Banáš,Ing.,53,riadiaci pracovník,Bratislava,ANO,Jozef Banáš,0
17,ANO,12,František,Tóth,Ing.,39,riaditeľ gymnázia,Bratislava,BEZPP,František Tóth,0
17,ANO,13,Jozef,Heriban,PhDr.,49,marketingový manažér,Bratislava,ANO,Jozef Heriban,0
17,ANO,14,Beáta,Brestenská,doc. RNDr. PhD.,47,vysokoškolská pedagogička,Bratislava,ANO,Beáta Brestenská,0
17,ANO,15,Branislav,Opaterný,RNDr.,39,konzultant,Bratislava,ANO,Branislav Opaterný,0
17,ANO,16,Michal,Horváth,Ing. PhD.,41,ekonóm,Bratislava,ANO,Michal Horváth,0
17,ANO,17,Marta,Dachová,JUDr.,34,manažérka,Vysoké Tatry,ANO,Marta Dachová,0
17,ANO,18,Stanislav,Kropilák,,47,športový manažér,Bratislava,ANO,Stanislav Kropilák,0
17,ANO,19,Pavol,Kuljaček,Ing.,51,stavebný inžinier,Bratislava,ANO,Pavol Kuljaček,0
17,ANO,20,Jozef,Masarik,prof. RNDr. DrSc.,42,vysokoškolský pedagóg,Bratislava,ANO,Jozef Masarik,0
17,ANO,21,Peter,Biroš,MUDr.,52,lekár,Prešov,ANO,Peter Biroš,0
17,ANO,22,Iveta,Henzélyová,Mgr.,39,pedagogička,Košice,ANO,Iveta Henzélyová,0
17,ANO,23,Kamila,Jandzíková,Mgr.,38,manažérka,Banská Bystrica,ANO,Kamila Jandzíková,0
17,ANO,24,Juraj,Plechlo,Ing.,37,riadiaci pracovník,Bratislava,ANO,Juraj Plechlo,0
17,ANO,25,Rastislav,Eliáš,,25,podnikateľ,Myjava,ANO,Rastislav Eliáš,0
17,ANO,26,Martin,Cifra,,32,úradník,Piešťany,ANO,Martin Cifra,0
17,ANO,27,Anna,Benková,JUDr.,41,právnička,Nové Zámky,ANO,Anna Benková,0
17,ANO,28,Ľubomír,Bernát,,48,primátor,Vrútky,BEZPP,Ľubomír Bernát,0
17,ANO,29,Imrich,Hamarčák,Ing.,47,štátny zamestnanec,Stropkov,ANO,Imrich Hamarčák,0
17,ANO,30,Igor,Kozák,Ing.,57,manažér,Košice,ANO,Igor Kozák,0
17,ANO,31,Emil,Potočník,,49,úradník,Rimavská Sobota,ANO,Emil Potočník,0
17,ANO,32,Magdaléna,Hadačová,,53,riaditeľka sekretariátu,Košice,ANO,Magdaléna Hadačová,0
17,ANO,33,Ladislav,Božik,JUDr.,50,právnik,Prievidza,ANO,Ladislav Božik,0
17,ANO,34,Karol,Česnek,Ing.,37,vodohospodár,Trnava,ANO,Karol Česnek,0
17,ANO,35,Miroslav,Aschengeschvantner,Ing.,36,podnikateľ,Jacovce,ANO,Miroslav Aschengeschvantner,0
17,ANO,36,Peter,Popelka,ak. mal.,47,podnikateľ,Martin,ANO,Peter Popelka,0
