nomPartyNumber,nomParty,listOrder,name1,name2,acadTitle,age,occupation,residency,valid
1,¼B,1,Jozef,Kalman,RSDr.,55,manaér,Bratislava,1
1,¼B,2,Emília,Krotáková,Ing.,56,preds. drustva,Jarabina,1
1,¼B,3,Cyril,Balaško,JUDr.,55,právnik,Bratislava,1
1,¼B,4,Oliver,Petrík,Ing.,44,manaér,Michalovce,1
1,¼B,5,Peter,Ondrejièka,,57,ivnostník,Trenèín,1
1,¼B,6,Aneka,Poradová,Ing.,47,manaérka,Luèenec,1
1,¼B,7,Peter,Bigoš,prof. Ing. CSc.,57,VŠ pedagóg,Košice,1
1,¼B,8,Ján,Garai,,59,dôchodca,Nové Zámky,1
1,¼B,9,Jozef,Bujòák,JUDr.,50,advokát,Prešov,1
1,¼B,10,Pavel,Pícha,,34,zváraè,Poprad,1
1,¼B,11,Ján,Huïa,,46,soc. pracovník,Bardejov,1
1,¼B,12,Michal,Antaš,,55,údrbár,Spišskı Štiavnik,1
1,¼B,13,Vasil,Dzadík,,55,obch. zástupca,Litmanová,1
1,¼B,14,Juraj,Ciberej,prof. Ing. CSc.,57,VŠ pedagóg,Trebišov,1
1,¼B,15,Andrej,Lazor,,52,starosta,ehòa,1
1,¼B,16,Ján,Ulickı,,33,podnikate¾,Klenovec,1
1,¼B,17,Pavel,Greksa,Ing.,49,starosta,Mıtna,1
1,¼B,18,Ján,Kubis,MUDr.,58,lekár,Bratislava,1
1,¼B,19,¼ubomír,Bilišòanskı,,49,starosta,Mirkovce,1
1,¼B,20,Jozef,K¾uska,Ing.,56,ekonóm,Dechtice,1
1,¼B,21,Ernest,Kováè,,63,leteckı technik,eliezovce,1
1,¼B,22,Monika,Hrdlovièová,,32,real. maklérka,Trnava,1
1,¼B,23,Milan,Danko,prof. Ing. CSc.,68,VŠ pedagóg,Sliaè,1
1,¼B,24,Marián,Princ,PhDr.,55,súkr. podnikate¾,Trnava,1
1,¼B,25,Marián,Kijovskı,,50,starosta,Jarovnice,1
1,¼B,26,Viera,Šuchterová,,53,súkr. podnikate¾ka,Bratislava,1
1,¼B,27,Dušan,Bánovskı,Mgr.,29,obch. manaér,Partizánske,1
1,¼B,28,Danica,Zimová,Bc.,50,pedagogièka,Banská Bystrica,1
1,¼B,29,Štefan,Leczo,Ing.,59,odbornı poradca,Krá¾ovskı Chlmec,1
1,¼B,30,Jozef,Jadviš,,49,mechanik,Peèovská Nová Ves,1
1,¼B,31,Martin,Streda,,24,uèite¾,eliezovce,1
1,¼B,32,Anna,Buchová,,51,hl. majsterka,Sereï,1
1,¼B,33,Jozef,Hajtmánek,,66,dôchodca,Jablonka,1
1,¼B,34,Vincent,Karaffa,Dr. Ing.,77,ekon. poradca,Prešov,1
1,¼B,35,Ján,Po¾anskı,,54,ivnostník,Svit,1
1,¼B,36,Jarmila,Koèišová,Ing. Mgr.,47,stred. uèite¾,Bratislava,1
1,¼B,37,Oldøich,Havlík,Ing.,50,obch. zástupca,Nitra,1
1,¼B,38,Marta,Záletová,,45,obchodníèka,Šarišské Micha¾any,1
1,¼B,39,Vincent,Ondrejko,,65,dôchodca,Frièkovce,1
1,¼B,40,Róbert,Liška,Mgr.,31,advok. koncipient,Poprad,1
1,¼B,41,Lucia,Balciarová,Ing.,26,ekonómka,Ve¾ké Teriakovce,1
1,¼B,42,Štefan,Malenovskı,,54,fin. poradca,Šajdíkove Humence,1
1,¼B,43,Mária,Vargová,,57,ekonómka,Dubník,1
1,¼B,44,Jozef,Zubrickı,,61,ved. prevádzky,Sabinov,1
1,¼B,45,Svetlana,Danèeková,,30,koord. soc. sluieb,Liptovské Revúce,1
1,¼B,46,Ingrid,Sovišová,PaedDr.,44,uèite¾ka,Bratislava,1
1,¼B,47,Emil,Kuèerák,,51,prevádz. chemik,Bratislava,1
1,¼B,48,Ján,Porada,,21,manaér,Luèenec,1
1,¼B,49,Roman,Pál,RNDr.,42,nezamestnanı,Senec,1
1,¼B,50,Pavel,Švec,,42,vodohospodár,Sabinov,1
2,SOS,1,Cyril,Betuš,JUDr.,55,právnik,Košice,1
2,SOS,2,Vladimír,Revickı,,51,podnikate¾,Prievidza,1
2,SOS,3,Tibor,Mayer,,39,podnikate¾,Komárno,1
2,SOS,4,Roman,Lupták,,51,podnikate¾,Košice,1
2,SOS,5,Richard,Novák,Ing.,64,dôchodca,Èadca,1
2,SOS,6,Peter,Baráth,Ing.,49,riadite¾ a. s.,Nitra,1
2,SOS,7,Ján,Mikula,Mgr. RSDr.,38,podnikate¾,arnovica,1
2,SOS,8,Štefan,Závadinka,Ing.,53,starosta,Koš,1
2,SOS,9,Silvia,Kišová,Mgr.,46,uèite¾ka,Nitra,1
2,SOS,10,Rudolf,Reštei,,51,dispeèér,Košice,1
2,SOS,11,Marta,Janíková,Mgr.,60,dôchodkyòa,Èadca,1
2,SOS,12,Jozef,Lukoviè,Mgr.,30,vıkonnı riadite¾,Bratislava,1
2,SOS,13,Dušan,Urban,,49,energetik,Trebišov,1
2,SOS,14,¼udovít,Kamien,,53,podnikate¾,Partizánske,1
2,SOS,15,Tibor,Kóša,,53,technik,Branè,1
2,SOS,16,Milena,Janièinová,JUDr.,42,právnièka,Košice,1
2,SOS,17,Anna,Korduliaková,MUDr.,52,lekárka,Èadca,1
2,SOS,18,Peter,Skrutek,,45,asistent riadite¾a,Bratislava,1
2,SOS,19,Hana,Luptáková,,27,študentka,Humenné,1
2,SOS,20,Ivan,Vaòo,Ing.,61,strojnı ininier,Prievidza,1
2,SOS,21,Ladislav,Kutka,,31,majster,Komárno,1
2,SOS,22,Peter,Onušèák,,39,podnikate¾,Trebišov,1
2,SOS,23,Rastislav,Rovnianek,Ing.,37,profesionálny športovec,Martin,1
2,SOS,24,Jaroslav,Papp,,57,starosta,Èe¾adice,1
2,SOS,25,Marián,Hric,Ing.,53,manaér,Košice,1
2,SOS,26,Peter,Bošiak,Mgr.,58,advokát,Nováky,1
2,SOS,27,Rastislav,Melicher,,38,projektovı manaér,Bratislava,1
2,SOS,28,Margaréta,Èernáková,MUDr.,47,lekárka,Košice,2
2,SOS,29,Tibor,Èierny,Ing.,42,podnikate¾,Martin,1
2,SOS,30,Jozef,Bõdõr,,46,zamestnanec SBS,Nitra,1
2,SOS,31,Peter,Konèek,,43,manaér,Košice,1
2,SOS,32,Katarína,Mazániková,Ing.,32,manaérka,Valaská Belá,1
2,SOS,33,Rut,Pinterová,,33,pokladníèka,Nitra,1
2,SOS,34,Ivan,Varholák,Mgr.,60,technik CO,Košice,1
2,SOS,35,Anna,Náglová,,47,podnikate¾ka,ilina,1
2,SOS,36,Štefan,Èambal,,33,novinár,Levice,1
2,SOS,37,Marián,Braxatoris,MVDr.,50,veterinár,Košice,1
2,SOS,38,Jozef,Palkoviè,,62,dôchodca,Horné Orešany,1
2,SOS,39,Anna,Vargová,Mgr.,53,uèite¾ka,Nitra,1
2,SOS,40,Milan,Alexy,Ing. CSc.,59,strojnı ininier,Košice,1
2,SOS,41,Ján,Matúška,Ing.,52,podnikate¾,Dolnı Kubín,1
2,SOS,42,Dana,Pénzešová,Dr.,52,riadite¾ka ZŠ,Nitra,1
2,SOS,43,Anna,Luptáková,,49,zdravotná sestra,Humenné,1
2,SOS,44,Ivan,Fabián,Ing.,43,finanènı manaér,Prievidza,1
2,SOS,45,Bernardína,Kosíková,,55,uèite¾ka,Nitra,1
2,SOS,46,Jaroslav,Savko,,22,robotník,Trebišov,1
2,SOS,47,Veronika,Haíková,Mgr.,49,štátna zamestnankyòa,Ošèadnica,1
2,SOS,48,Anna,Lukáèová,,53,riadite¾ka MŠ,Nitra,1
2,SOS,49,Pavol,Šestina,Ing.,47,manaér,Košice,1
2,SOS,50,Miroslav,Kluvanec,Mgr.,32,uèite¾,Nitrianske Rudno,1
2,SOS,51,Dušan,Lietava,,51,fotograf,Nitra,1
2,SOS,52,ofia,Dûtmentová,,45,manaérka,Michalovce,1
2,SOS,53,Ján,Pribylinec,Ing.,53,technik,Èadca,1
2,SOS,54,Miloš,Luprich,,37,grafik,Nitra,1
2,SOS,55,Ján,Košèo,Bc.,41,manaér,Micha¾any,1
2,SOS,56,Dušan,Korman,,52,podnikate¾,Nesluša,1
2,SOS,57,Lazar,Németh,,55,podnikate¾,Komárno,1
2,SOS,58,Tomáš,Orth,,51,technik,Košice,1
2,SOS,59,Boena,Šèuryová,Ing.,52,ekonómka,Èadca,1
2,SOS,60,Jana,Hutláková,Ing.,46,ekonómka,Košice,1
2,SOS,61,Anna,Birèiaková,,55,zdravotná sestra,Èadca,1
2,SOS,62,Ivan,Drodiak,,44,robotník,Gemerská Hôrka,1
2,SOS,63,Anna,Vavreèková,,47,dôchodkyòa,Èierne,1
2,SOS,64,Konštantín,Kaèinetz,Ing.,38,energetik,Trebišov,1
2,SOS,65,Pavol,Šamaj,,53,podnikate¾,Èadca,1
2,SOS,66,Radomír,Tóth,Ing.,47,stavebnı technik,Košice,1
2,SOS,67,Jaroslav,Klus,Mgr.,55,pedagóg,Èadca,1
2,SOS,68,Katarína,Seke¾ská,,34,manaérka,Košice,1
2,SOS,69,Miloš,Hruška,,51,sociálny kurátor,Podvysoká,1
2,SOS,70,Mária,Urbanová,Ing.,38,ekonómka,Trebišov,1
2,SOS,71,Marián,Gál,,30,mechanik,Èadca,1
2,SOS,72,Pavol,Danko,,50,technik,Košice,1
2,SOS,73,Marián,Vraštiak,,46,podnikate¾,Košice,1
2,SOS,74,Dagmar,Szotáková,Ing.,42,technièka,Košice,1
2,SOS,75,Viera,Cichuvièová,,29,obchodníèka,Košice,1
2,SOS,76,Ján,Farbár,,31,manaér,Trebišov,1
2,SOS,77,Emil,Lišivka,Ing.,52,technik,Košice,1
2,SOS,78,Katarína,Tóthová,,39,adm. pracovníèka,Košice,1
2,SOS,79,Monika,Krankusová,,38,adm. pracovníèka,Košice,1
