nomPartyNumber,nomParty,listOrder,name1,name2,acadTitle,age,occupation,residency,valid,name
1,Zelení,1,Jana,Pavlovičová,Ing.,28,manažérka,Klin,1,Jana Pavlovičová
1,Zelení,2,Marcel,Brenkus,Mgr.,29,technický odborný poradca,Bratislava,1,Marcel Brenkus
1,Zelení,3,Dominika,Filkusová,Ing.,28,ekologička,Bušince,1,Dominika Filkusová
1,Zelení,4,Timon,Kašprišin,,23,živnostník,Bratislava,1,Timon Kašprišin
1,Zelení,5,Pavel,Hraško,JUDr.,55,podnikateľ,Banská Štiavnica,1,Pavel Hraško
1,Zelení,6,Miroslav,Záviš,Ing.,53,podnikateľ,Nová Dubnica,1,Miroslav Záviš
1,Zelení,7,Martina,Polónyová,,38,predavačka,Liptovský Mikuláš,1,Martina Polónyová
1,Zelení,8,Ladislav,Ambrós,RNDr.,55,štátny zamestnanec,Veľký Krtíš,1,Ladislav Ambrós
1,Zelení,9,Igor,Gajdoš,,41,podnikateľ,Banská Belá,1,Igor Gajdoš
1,Zelení,10,Tomáš,Augustín,Bc.,26,architekt,Bratislava,1,Tomáš Augustín
1,Zelení,11,Igor,Novosad,,34,kaderník,Bratislava,1,Igor Novosad
1,Zelení,12,Lenka,Bertová,Mgr.,33,asistentka,Soľ,1,Lenka Bertová
1,Zelení,13,Ferdinand,Devečka,,42,podnikateľ,Liptovský Mikuláš,1,Ferdinand Devečka
1,Zelení,14,Miroslav,Slivka,Ing.,41,technik,Stropkov,1,Miroslav Slivka
1,Zelení,15,Radoslav,Hančák,,37,robotník,Nižná Olšava,1,Radoslav Hančák
2,KDH,1,Ján,Figeľ,Ing. PhD.,52,minister,Bratislava,1,Ján Figeľ
2,KDH,2,Pavol,Hrušovský,JUDr.,59,predseda NR SR,Nitra,1,Pavol Hrušovský
2,KDH,3,Daniel,Lipšic,JUDr. LL.M.,38,minister vnútra SR,Bratislava,1,Daniel Lipšic
2,KDH,4,Július,Brocka,Ing.,55,poslanec NR SR,Križovany nad Dudváhom,1,Július Brocka
2,KDH,5,Ivan,Uhliarik,MUDr.,43,lekár,Skalica,1,Ivan Uhliarik
2,KDH,6,Ján,Hudacký,Ing.,53,štátny tajomník MDVRR SR,Prešov,1,Ján Hudacký
2,KDH,7,Pavol,Abrhan,Ing.,52,poslanec NR SR,Nové Zámky,1,Pavol Abrhan
2,KDH,8,Jana,Žitňanská,Mgr.,37,poslankyňa NR SR,Bratislava,1,Jana Žitňanská
2,KDH,9,Martin,Fronc,Doc. Mgr. PhD.,64,poslanec NR SR,Divina,1,Martin Fronc
2,KDH,10,Radoslav,Procházka,Doc. JUDr. PhD.,39,právnik,Bratislava,1,Radoslav Procházka
2,KDH,11,Pavol,Zajac,Ing.,45,stavebný technik,Sedliská,1,Pavol Zajac
2,KDH,12,Alojz,Přidal,Mgr.,55,poslanec NR SR,Kátlovce,1,Alojz Přidal
2,KDH,13,Peter,Muránsky,Ing. Mgr.,38,poslanec NR SR,Nemce,1,Peter Muránsky
2,KDH,14,Marián,Kvasnička,PhDr.,56,poslanec NR SR,Trenčín,1,Marián Kvasnička
2,KDH,15,Marián,Radošovský,Ing.,51,poslanec NR SR,Mojmírovce,1,Marián Radošovský
2,KDH,16,Jozef,Bobík,Ing.,60,prednosta obvodného úradu,Michalovce,1,Jozef Bobík
2,KDH,17,Monika,Gibalová,PhDr. Mgr. PhD.,51,poslankyňa NR SR,Svit,1,Monika Gibalová
2,KDH,18,Miloš,Moravčík,Ing. PhD.,28,ekonóm,Bánov,1,Miloš Moravčík
2,KDH,19,Peter,Belinský,Ing.,43,generálny riaditeľ,Žilina,1,Peter Belinský
2,KDH,20,Peter,Mach,RNDr.,61,vedúci služobného úradu MDVRR SR,Bratislava,1,Peter Mach
2,KDH,21,Peter,Bobula,Mgr. Ing.,45,právnik stavbár,Urmince,1,Peter Bobula
2,KDH,22,Maroš,Žilinka,JUDr.,41,štátny tajomník Ministerstva vnútra SR,Piešťany,1,Maroš Žilinka
2,KDH,23,Eva,Grey,Prof. MUDr. PhD.,43,vysokoškolská profesorka,Bratislava,1,Eva Grey
2,KDH,24,Branislav,Rajčáni,Ing. Ph.D.,27,predseda Kresťanskodemokratickej mládeže Slovenska,Bratislava,1,Branislav Rajčáni
2,KDH,25,Stanislav,Kahanec,Ing.,57,prednosta obvodného úradu,Prešov,1,Stanislav Kahanec
2,KDH,26,Michal,Slašťan,Ing.,55,lesný inžinier,Ružomberok,1,Michal Slašťan
2,KDH,27,Iveta,Sokolová,PhDr. PhD.,51,manažérka,Slivník,1,Iveta Sokolová
2,KDH,28,Pavol,Čiernik,Ing.,47,prednosta obvodného úradu,Ilava,1,Pavol Čiernik
2,KDH,29,Roman,Sova,Ing.,44,ekonóm,Senica,1,Roman Sova
2,KDH,30,Jaroslav,Ivan,Ing.,55,konateľ spoločnosti,Krškany,1,Jaroslav Ivan
2,KDH,31,Roman,Šimoník,Ing. Mgr.,43,živnostník,Zohor,1,Roman Šimoník
2,KDH,32,Pavel,Kravec,Mgr.,54,generálny riaditeľ,Trnavá Hora,1,Pavel Kravec
2,KDH,33,Anna,Neumannová,Doc. Ing. CSc.,51,vysokoškolská pedagogička,Bratislava,1,Anna Neumannová
2,KDH,34,Jozef,Mikloško,Doc. RNDr. DrSc.,72,predseda Združenia kresťanských seniorov Slovenska,Bratislava,1,Jozef Mikloško
2,KDH,35,Jozef,Šimko,Ing.,55,generálny riaditeľ Ministerstva vnútra SR,Stropkov,1,Jozef Šimko
2,KDH,36,Peter,Weber,Ing.,35,stavebný inžinier,Bytča,1,Peter Weber
2,KDH,37,Ján,Dečo,Ing.,49,manažér - riaditeľ,Košice,1,Ján Dečo
2,KDH,38,Marián,Sopčák,Mgr.,37,zástupca primátora,Považská Bystrica,1,Marián Sopčák
2,KDH,39,Karol,Jasenovský,Ing.,53,konateľ,Veľké Kostoľany,1,Karol Jasenovský
2,KDH,40,Ján,Vančo,PhDr. PhD.,37,zástupca primátora,Nitra,1,Ján Vančo
2,KDH,41,Pavol,Baxa,Ing.,53,štátny zamestnanec,Bratislava,1,Pavol Baxa
2,KDH,42,Peter,Lačný,Ing.,55,stavebný inžinier,Riečka,1,Peter Lačný
2,KDH,43,Ladislav,Vančo,Akademický maliar,63,výtvarný - kultúrny pracovník,Bratislava,1,Ladislav Vančo
2,KDH,44,Tibor,Hlavatý,Doc. MUDr. PhD.,38,lekár,Stupava,1,Tibor Hlavatý
2,KDH,45,Pavol,Tarcala,Ing.,46,technický inžinier,Bardejov,1,Pavol Tarcala
2,KDH,46,Vladimír,Šiška,Ing.,50,starosta,Zuberec,1,Vladimír Šiška
2,KDH,47,Marián,Sasák,Ing.,51,štátny zamestnanec,Chrastné,1,Marián Sasák
2,KDH,48,Juraj,Gordan,Mgr.,43,prednosta obvodného lesného úradu,Bojnice,1,Juraj Gordan
2,KDH,49,Róbert,Korec,Mgr.,40,projektový manažér,Pata,1,Róbert Korec
2,KDH,50,Miroslav,Baník,Mgr.,30,pedagóg,Hlinné,1,Miroslav Baník
2,KDH,51,Lukáš,Pokorný,Mgr.,41,prednosta obvodného úradu,Bratislava,1,Lukáš Pokorný
2,KDH,52,Ondrej,Binder,,41,živnostník,Svätý Anton,1,Ondrej Binder
2,KDH,53,Katarína,Smiešková,Ing.,53,ekonómka,Kráľová pri Senci,1,Katarína Smiešková
2,KDH,54,Ján,Porubský,Doc. MUDr. CSc.,64,lekár - vysokoškolský pedagóg,Bratislava,1,Ján Porubský
2,KDH,55,Milan,Majerský,PaedDr.,40,prednosta mestského úradu,Levoča,1,Milan Majerský
2,KDH,56,Peter,Caban,Ing.,54,námestník riaditeľa,Ľubochňa,1,Peter Caban
2,KDH,57,Miroslava,Szitová,Mgr.,37,vysokoškolská pedagogička,Smižany,1,Miroslava Szitová
2,KDH,58,Ivan,Sadovský,Ing.,55,riaditeľ ÚPSVaR,Nové Mesto nad Váhom,1,Ivan Sadovský
2,KDH,59,Blažena,Královičová,Ing.,51,podnikateľka,Trnava,1,Blažena Královičová
2,KDH,60,Marek,Mesároš,Ing.,37,ekonóm,Močenok,1,Marek Mesároš
2,KDH,61,Pavol,Kossey,Ing. Mgr.,54,odborník na zahraničné vzťahy,Bratislava,1,Pavol Kossey
2,KDH,62,Jozef,Paločko,Ing.,49,súkromný podnikateľ,Zvolen,1,Jozef Paločko
2,KDH,63,Ján,Kotuľa,Ing.,61,dopravný inžinier,Bratislava,1,Ján Kotuľa
2,KDH,64,Peter,Stanko,Ing.,45,environmentalista,Chorvátsky Grob,1,Peter Stanko
2,KDH,65,Michal,Babin,PhDr.,49,technik,Humenné,1,Michal Babin
2,KDH,66,Peter,Belica,Ing.,60,prednosta obvodného úradu,Sučany,1,Peter Belica
2,KDH,67,Anna,Nemčíková,,54,primátorka,Gelnica,1,Anna Nemčíková
2,KDH,68,Ladislav,Kšiňan,Ing.,51,učiteľ,Bánovce nad Bebravou,1,Ladislav Kšiňan
2,KDH,69,Jozef,Klokner,Ing.,56,prednosta obvodného úradu,Trnava,1,Jozef Klokner
2,KDH,70,Miloš,Zaujec,,47,technik,Levice,1,Miloš Zaujec
2,KDH,71,Marián,Príbelský,MUDr. CSc.,64,lekár,Senec,1,Marián Príbelský
2,KDH,72,Jozef,Vretenička,Mgr.,42,štátny zamestnanec,Poltár,1,Jozef Vretenička
2,KDH,73,Peter,Molda,Ing.,30,riaditeľ,Smolenice,1,Peter Molda
2,KDH,74,Katarína,Tuhárska,Mgr.,34,učiteľka,Krupina,1,Katarína Tuhárska
2,KDH,75,Ján,Soliar,Ing.,58,prednosta obvodného úradu,Kežmarok,1,Ján Soliar
2,KDH,76,Roman,Špirec,Ing.,39,manažér,Rudina,1,Roman Špirec
2,KDH,77,Mária,Sabolová,Ing.,55,poslankyňa NR SR,Košice,1,Mária Sabolová
2,KDH,78,Viera,Nemcová,Ing.,50,štátna zamestnankyňa,Brezová pod Bradlom,1,Viera Nemcová
2,KDH,79,Miroslav,Papay,,53,chemik,Koplotovce,1,Miroslav Papay
2,KDH,80,Stanislav,Jiríček,Mgr.,40,učiteľ,Komárno,1,Stanislav Jiríček
2,KDH,81,Juraj,Pavelek,Ing.,64,manažér,Svätý Jur,1,Juraj Pavelek
2,KDH,82,Peter,Gottreich,RNDr.,57,prednosta obvodného úradu,Lučenec,1,Peter Gottreich
2,KDH,83,Marian,Železník,Ing.,53,predseda poľnohospodárskeho družstva,Zuberec,1,Marian Železník
2,KDH,84,Marcela,Machilová,PhDr.,62,pedagogička,Turčianske Teplice,1,Marcela Machilová
2,KDH,85,Ján,Fekiač,Ing.,54,regionálny manažér,Sabinov,1,Ján Fekiač
2,KDH,86,Zdenko,Kubáň,Bc.,31,starosta,Malatiná,1,Zdenko Kubáň
2,KDH,87,Róbert,Benik,Ing.,30,lesný inžinier,Rožňava,1,Róbert Benik
2,KDH,88,Alojz,Svedek,Mgr. Bc.,35,súdny úradník,Nemšová,1,Alojz Svedek
2,KDH,89,Peter,Štuller,MUDr.,56,detský lekár,Dunajská Streda,1,Peter Štuller
2,KDH,90,Ľubomír,Bošanský,Ing.,57,technik,Jacovce,1,Ľubomír Bošanský
