again,party1,party2,order1,order2,minor,loyal,improveParty,improveParty2,improvePosition,origPartyDissolved,year1
Eva Kováčová,SZS,SF,8,108,1,0,1,1,0,1,2002
Eduard Bezaňuk,SZS,SF,11,122,1,0,1,1,0,1,2002
Peter Nováčik,SZS,SF,16,33,1,0,1,1,0,1,2002
Mikuláš Dzurinda,SDKÚ,SDKÚ-DS,1,1,0,1,1,0,1,0,2002
Eduard Kukan,SDKÚ,SDKÚ-DS,2,4,0,1,1,0,0,0,2002
Ivan Mikloš,SDKÚ,SDKÚ-DS,3,2,0,1,1,0,1,0,2002
Ivan Šimko,SDKÚ,Misia 21,4,1,0,0,0,0,1,0,2002
Zuzana Martináková,SDKÚ,SF,5,1,0,0,0,0,1,0,2002
Jozef Mikuš,SDKÚ,SDKÚ-DS,6,13,0,1,1,0,0,0,2002
Milan Hort,SDKÚ,SDKÚ-DS,8,5,0,1,1,0,1,0,2002
Ferdinand Devínsky,SDKÚ,SDKÚ-DS,10,24,0,1,1,0,0,0,2002
Tomáš Galbavý,SDKÚ,SDKÚ-DS,11,21,0,1,1,0,0,0,2002
Peter Miššík,SDKÚ,SDKÚ-DS,12,20,0,1,1,0,0,0,2002
Juraj Liška,SDKÚ,SDKÚ-DS,13,6,0,1,1,0,1,0,2002
Ján Rusnák,SDKÚ,SDKÚ-DS,16,33,0,1,1,0,0,0,2002
Pavol Kubovič,SDKÚ,SDKÚ-DS,18,7,0,1,1,0,1,0,2002
Ľubica Navrátilová,SDKÚ,SF,20,3,0,0,0,0,1,0,2002
Zoltán Horváth,SDKÚ,SDKÚ-DS,21,30,0,1,1,0,0,0,2002
Jarmila Tkáčová,SDKÚ,SDKÚ-DS,23,23,0,1,1,0,1,0,2002
Stanislav Janiš,SDKÚ,SDKÚ-DS,25,18,0,1,1,0,1,0,2002
Stanislav Škoda,SDKÚ,SDKÚ-DS,26,43,0,1,1,0,0,0,2002
Eva Rusnáková,SDKÚ,SDKÚ-DS,28,56,0,1,1,0,0,0,2002
Petra Masácová,SDKÚ,SDKÚ-DS,31,34,0,1,1,0,0,0,2002
Vladimír Horák,SDKÚ,SDKÚ-DS,33,73,0,1,1,0,0,0,2002
Viliam Novotný,SDKÚ,SDKÚ-DS,34,26,0,1,1,0,1,0,2002
Eva Hlaváčová,SDKÚ,SF,37,5,0,0,0,0,1,0,2002
Ján Pataky,SDKÚ,SDKÚ-DS,39,28,0,1,1,0,1,0,2002
Ľudovít Daučo,SDKÚ,SDKÚ-DS,43,64,0,1,1,0,0,0,2002
Martin Kuruc,SDKÚ,SDKÚ-DS,47,29,0,1,1,0,1,0,2002
Karol Géč,SDKÚ,SDKÚ-DS,52,70,0,1,1,0,0,0,2002
Milan Vaškor,SDKÚ,SDKÚ-DS,53,86,0,1,1,0,0,0,2002
Jaroslav Ivančo,SDKÚ,SDKÚ-DS,56,31,0,1,1,0,1,0,2002
Eva Bombová,SDKÚ,Misia 21,58,2,0,0,0,0,1,0,2002
Oto Nevický,SDKÚ,SDKÚ-DS,59,95,0,1,1,0,0,0,2002
Martin Pado,SDKÚ,SDKÚ-DS,61,9,0,1,1,0,1,0,2002
