no,again,party1,party2,order1,order2,minor,loyal,improveParty,improveParty2,improvePosition,origPartyDissolved
1,Ján Figeľ,KDH,KDH,1,1,0,1,0,0,1,0
2,Pavol Hrušovský,KDH,KDH,2,8,0,1,0,0,0,0
3,Daniel Lipšic,KDH,OĽaNO,3,14,0,0,1,1,0,0
4,Július Brocka,KDH,KDH,4,4,0,1,0,0,1,0
5,Ivan Uhliarik,KDH,KDH,5,28,0,1,0,0,0,0
6,Ján Hudacký,KDH,KDH,6,5,0,1,0,0,1,0
7,Pavol Abrhan,KDH,KDH,7,9,0,1,0,0,0,0
8,Radoslav Procházka,KDH,#Sieť,10,1,0,0,1,1,1,0
9,Pavol Zajac,KDH,KDH,11,7,0,1,0,0,1,0
10,Alojz Přidal,KDH,KDH,12,12,0,1,0,0,1,0
11,Peter Muránsky,KDH,KDH,13,15,0,1,0,0,0,0
12,Marián Radošovský,KDH,KDH,15,14,0,1,0,0,1,0
13,Jozef Bobík,KDH,KDH,16,13,0,1,0,0,1,0
14,Miloš Moravčík,KDH,KDH,18,6,0,1,0,0,1,0
15,Peter Belinský,KDH,KDH,19,3,0,1,0,0,1,0
16,Peter Bobula,KDH,KDH,21,150,0,1,0,0,0,0
17,Eva Grey,KDH,KDH,23,18,0,1,0,0,1,0
18,Stanislav Kahanec,KDH,KDH,25,23,0,1,0,0,1,0
19,Michal Slašťan,KDH,KDH,26,24,0,1,0,0,1,0
20,Roman Sova,KDH,KDH,29,57,0,1,0,0,0,0
21,Jozef Mikloško,KDH,KDH,34,31,0,1,0,0,1,0
22,Marián Sopčák,KDH,KDH,38,17,0,1,0,0,1,0
23,Ján Vančo,KDH,KDH,40,46,0,1,0,0,0,0
24,Tibor Hlavatý,KDH,OĽaNO,44,18,0,0,1,1,1,0
25,Ondrej Binder,KDH,ĽSNS,52,7,0,0,1,1,1,0
26,Ján Porubský,KDH,KDH,54,39,0,1,0,0,1,0
27,Milan Majerský,KDH,KDH,55,27,0,1,0,0,1,0
28,Miroslava Szitová,KDH,KDH,57,2,0,1,0,0,1,0
29,Ivan Sadovský,KDH,KDH,58,67,0,1,0,0,0,0
30,Marek Mesároš,KDH,KDH,60,32,0,1,0,0,1,0
31,Ján Kotuľa,KDH,KDH,63,98,0,1,0,0,0,0
32,Peter Stanko,KDH,KDH,64,41,0,1,0,0,1,0
33,Miloš Zaujec,KDH,KDH,70,79,0,1,0,0,0,0
34,Katarína Tuhárska,KDH,KDH,74,48,0,1,0,0,1,0
35,Miroslav Papay,KDH,KDH,79,113,0,1,0,0,0,0
36,Stanislav Jiríček,KDH,KDH,80,139,0,1,0,0,0,0
37,Peter Štuller,KDH,KDH,89,95,0,1,0,0,0,0
38,Mária Sliacka,KDH,KDH,92,47,0,1,0,0,1,0
39,František Orlovský,KDH,KDH,94,10,0,1,0,0,1,0
40,Peter Dvoran,KDH,KDH,98,87,0,1,0,0,1,0
41,Eduard Adamčík,KDH,#Sieť,104,6,0,0,1,1,1,0
42,Mikuláš Krippel,KDH,KDH,108,81,0,1,0,0,1,0
43,Ján Čuchran,KDH,KDH,112,56,0,1,0,0,1,0
44,Juraj Marko,KDH,KDH,119,145,0,1,0,0,0,0
45,Miloslav Hatala,KDH,KDH,123,61,0,1,0,0,1,0
46,Ján Beljak,KDH,KDH,124,33,0,1,0,0,1,0
47,Ján Nigut,KDH,KDH,127,84,0,1,0,0,1,0
48,Jozef Bolješik,KDH,KDH,129,136,0,1,0,0,0,0
49,Mária Jakubová,KDH,KDH,132,68,0,1,0,0,1,0
50,Ján Oparty,KDH,KDH,150,34,0,1,0,0,1,0
51,Jozef Ďurina,SDĽ,Tip,36,73,1,0,1,1,0,1
52,Andrej Danko,SNS,SNS,2,1,1,1,1,0,1,0
53,Ján Ikrényi,SNS,SNS,5,29,1,1,1,0,0,0
54,Štefan Zelník,SNS,SNS,6,5,1,1,1,0,1,0
55,Peter Pamula,SNS,SNS,12,12,1,1,1,0,1,0
56,Pavel Kapusta,SNS,SNS,19,27,1,1,1,0,0,0
57,Magdaléna Kuciaňová,SNS,SNS,22,10,1,1,1,0,1,0
58,Slavomír Kupka,SNS,SNS,25,30,1,1,1,0,0,0
59,Jaroslav Vaľo,SNS,SNS,27,65,1,1,1,0,0,0
60,Ján Sitek,SNS,SNS,28,57,1,1,1,0,0,0
61,Pavol Kleban,SNS,SNS,29,74,1,1,1,0,0,0
62,Milan Ďurica,SNS,SNS,32,47,1,1,1,0,0,0
63,Dušan Lauko,SNS,SNS,34,33,1,1,1,0,1,0
64,Rudolf Urbanovič,SNS,SNS,39,8,1,1,1,0,1,0
65,Stanislav Gaľa,SNS,SNS,40,148,1,1,1,0,0,0
66,Marián Vojtko,SNS,SNS,44,55,1,1,1,0,0,0
67,Ján Olejník,SNS,SNS,45,100,1,1,1,0,0,0
68,Miroslav Magdech,SNS,SNS,48,106,1,1,1,0,0,0
69,Milan Mlynár,SNS,SNS,49,35,1,1,1,0,1,0
70,Stanislav Kmec,SNS,SNS,50,7,1,1,1,0,1,0
71,Peter Urbanec,SNS,SNS,56,48,1,1,1,0,1,0
72,Miroslav Brincko,SNS,SNS,57,60,1,1,1,0,0,0
73,Erik Gemzický,SNS,SNS,63,28,1,1,1,0,1,0
74,Michal Lavrík,SNS,SNS,67,19,1,1,1,0,1,0
75,Dušan Haľko,SNS,SNS,70,70,1,1,1,0,1,0
76,Jozef Galbavý,SNS,SNS,71,67,1,1,1,0,1,0
77,Dušan Macoszek,SNS,SNS,77,94,1,1,1,0,0,0
78,Ján Plencner,SNS,SNS,84,140,1,1,1,0,0,0
79,Ivan Bokor,SNS,ĽSNS,92,97,1,0,1,0,0,0
80,Pavel Schwarz,SNS,SDKÚ-DS,101,99,1,0,0,0,1,0
81,Eduard Markovič,SNS,SNS,108,40,1,1,1,0,1,0
82,Jozef Brtoš,SNS,SNS,111,145,1,1,1,0,0,0
83,Jaroslav Kocan,SNS,SNS,126,147,1,1,1,0,0,0
84,Slávka Kramárová,SNS,SNS,134,54,1,1,1,0,1,0
85,Marián Krásny,SNS,SNS,141,88,1,1,1,0,1,0
86,Miroslav Šuňal,SNS,ĽSNS,148,48,1,0,1,0,1,0
87,Dušan Rajčan,SNS,SNS,149,53,1,1,1,0,1,0
88,Eva Horváthová,OĽaNO,OĽaNO,3,146,0,1,1,0,0,0
89,Helena Mezenská,OĽaNO,OĽaNO,7,143,0,1,1,0,0,0
90,Peter Pollák,OĽaNO,OĽaNO,8,142,0,1,1,0,0,0
91,Alojz Hlina,OĽaNO,KDH,9,70,0,0,0,0,0,0
92,Ján Mičovský,OĽaNO,OĽaNO,10,144,0,1,1,0,0,0
93,Richard Vašečka,OĽaNO,OĽaNO,11,145,0,1,1,0,0,0
94,Mária Ritomská,OĽaNO,Priama demokracia,13,1,0,0,0,0,1,0
95,Igor Hraško,OĽaNO,OĽaNO,14,140,0,1,1,0,0,0
96,Janka Šípošová,OĽaNO,OĽaNO,15,141,0,1,1,0,0,0
97,Vanda Rybanská,OĽaNO,OĽaNO,37,47,0,1,1,0,0,0
98,Radomír Kizek,OĽaNO,OĽaNO,38,59,0,1,1,0,0,0
99,Anton Mihálik,OĽaNO,Vzdor – strana práce,39,31,0,0,0,0,1,0
100,Marta Ivanová,OĽaNO,OĽaNO,42,43,0,1,1,0,0,0
101,Milan Kuriak,OĽaNO,OĽaNO,44,19,0,1,1,0,1,0
102,Milan Beňo,OĽaNO,OĽaNO,80,133,0,1,1,0,0,0
103,Igor Krafčík,OĽaNO,OĽaNO,86,99,0,1,1,0,0,0
104,Konštantín Javorský,OĽaNO,OĽaNO,91,100,0,1,1,0,0,0
105,Tomáš Kováčik,OĽaNO,KDH,95,149,0,0,0,0,0,0
106,Róbert Halák,OĽaNO,OĽaNO,100,55,0,1,1,0,1,0
107,Roman Vaňo,OĽaNO,OĽaNO,106,128,0,1,1,0,0,0
108,Anton Frič,OĽaNO,OĽaNO,110,92,0,1,1,0,1,0
109,Ivan Kuhn,OĽaNO,SaS,144,30,0,0,1,1,1,0
110,Ondrej Dostál,OĽaNO,SaS,145,20,0,0,1,1,1,0
111,Jozef Viskupič,OĽaNO,OĽaNO,147,148,0,1,1,0,0,0
112,Martin Fecko,OĽaNO,OĽaNO,148,147,0,1,1,0,1,0
113,Erika Jurinová,OĽaNO,OĽaNO,149,149,0,1,1,0,1,0
114,Igor Matovič,OĽaNO,OĽaNO,150,150,0,1,1,0,1,0
115,Richard Sulík,SaS,SaS,1,1,0,1,1,0,1,0
116,Daniel Krajcer,SaS,SKOK,2,3,0,0,0,0,0,0
117,Juraj Miškov,SaS,SKOK,3,1,0,0,0,0,1,0
118,Ľubomír Galko,SaS,SaS,4,2,0,1,1,0,1,0
119,Jozef Mihál,SaS,SaS,5,4,0,1,1,0,1,0
120,Jana Kiššová,SaS,SaS,6,3,0,1,1,0,1,0
121,Jozef Kollár,SaS,SKOK,7,4,0,0,0,0,1,0
122,Natália Blahová,SaS,SaS,8,12,0,1,1,0,0,0
123,Martin Poliačik,SaS,SaS,9,8,0,1,1,0,1,0
124,Lucia Nicholsonová,SaS,SaS,11,7,0,1,1,0,1,0
125,Martin Chren,SaS,SKOK,12,6,0,0,0,0,1,0
126,Peter Kalist,SaS,SaS,14,92,0,1,1,0,0,0
127,Peter Osuský,SaS,SaS,15,15,0,1,1,0,1,0
128,Szilárd Somogyi,SaS,SMK,16,100,0,0,0,0,0,0
129,Stanislav Fořt,SaS,SaS,20,28,0,1,1,0,0,0
130,Juraj Droba,SaS,SaS,22,13,0,1,1,0,1,0
131,Milan Laurenčík,SaS,SaS,25,19,0,1,1,0,1,0
132,Ivan Holko,SaS,SaS,26,71,0,1,1,0,0,0
133,Michal Uherčík,SaS,SaS,28,36,0,1,1,0,0,0
134,Michal Bróska,SaS,SaS,30,24,0,1,1,0,1,0
135,Alojz Baránik,SaS,SaS,31,11,0,1,1,0,1,0
136,Miloš Domorák,SaS,SaS,36,125,0,1,1,0,0,0
137,Miroslav Ivan,SaS,SaS,38,16,0,1,1,0,1,0
138,Branislav Švec,SaS,SKOK,40,28,0,0,0,0,1,0
139,Peter Jurčo,SaS,SaS,41,49,0,1,1,0,0,0
140,Vladimír Sloboda,SaS,SaS,42,21,0,1,1,0,1,0
141,Ľudovít Beťko,SaS,SaS,43,39,0,1,1,0,1,0
142,Jakub Ilavský,SaS,SKOK,45,111,0,0,0,0,0,0
143,Milan Benka,SaS,SKOK,46,32,0,0,0,0,1,0
144,Marián Viskupič,SaS,SaS,47,25,0,1,1,0,1,0
145,Anna Zemanová,SaS,SaS,49,17,0,1,1,0,1,0
146,Radoslav Pavelka,SaS,SaS,52,23,0,1,1,0,1,0
147,Katarína Augustinič,SaS,SKOK,59,2,0,0,0,0,1,0
148,Monika Dimitriadu,SaS,SKOK,65,5,0,0,0,0,1,0
149,Pavol Líška,SaS,SaS,75,44,0,1,1,0,1,0
