;X;again;party1;party2;order1;order2;change;minor;loyal;improveParty;improveParty2;improvePosition;origPartyDissolved;year1;minorMajor;minorMinor;majorMajor;majorMinor;switch;new2;switchMiMa;switchMiMi;switchMaMa;switchMaMi;mp
1;1;Pavol ProkopoviË;DS;SDK;1;37;36;1;0;NA;NA;0;NA;1994;1;0;0;0;1;1;1;0;0;0;0
2;2;Peter Osusk˝;DS;SDK;10;13;3;1;0;NA;NA;0;NA;1994;1;0;0;0;1;1;1;0;0;0;0
3;3;Milan KÚaûko;DU;SDK;1;18;17;1;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
4;4;VladimÌr Bajan;DU;SDK;2;53;51;1;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
5;5;Branislav ZahradnÌk;DU;SDK;7;122;115;1;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
6;6;Frantiöek Hirja;DU;SDK;10;143;133;1;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
7;7;KatarÌna TÛthov·;HZDS;HZDS;1;11;10;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
8;8;AugustÌn Mari·n H˙ska;HZDS;HZDS;2;10;8;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
9;9;Irena Belohorsk·;HZDS;HZDS;3;17;14;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
10;10;Marta Aibekov·;HZDS;HZDS;4;26;22;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;1
11;11;J·n äimko;HZDS;SOP;32;41;9;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
12;12;Alena GalloviËov·;HZDS;HZDS;34;137;103;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
13;13;Dagmar GaöparÌkov·;HZDS;HZDS;35;117;82;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
14;14;Frantiöek Kasanick˝;KSS;KSS;2;55;53;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
15;15;ValÈria MajernÌkov·;KSS;KSS;4;87;83;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
16;16;Andrej Trnovec;KSU;SLS;5;5;0;1;0;NA;NA;1;NA;1994;0;1;0;0;1;1;0;1;0;0;0
17;17;Rastislav Bedn·rik;KSU;SNS;6;46;40;1;0;NA;NA;0;NA;1994;1;0;0;0;1;0;1;0;0;0;0
18;18;Jozef DeËo;KSU;SNS;15;134;119;1;0;NA;NA;0;NA;1994;1;0;0;0;1;0;1;0;0;0;0
19;19;Ivan äimko;KDH;SDK;1;6;5;1;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
20;20;Frantiöek äebej;KDH;SDK;2;19;17;1;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
