;again;party1;party2;order1;order2;loyal;mp
36;Ivan Sıkora;Demokratická strana;Hnutie za demokratické Slovensko;2;50;0;0
1;Pavol Prokopoviè;Demokratická strana;Slovenská demokratická koalícia;1;37;0;0
2;Peter Osuskı;Demokratická strana;Slovenská demokratická koalícia;10;13;0;0
38;Ivan Borovskı;Demokratická strana;Slovenská demokratická koalícia;9;141;0;0
39;Peter Ošváth;Demokratická strana;Slovenská demokratická koalícia;13;36;0;0
132;Alexander Slafkovskı;Demokratická strana;Slovenská demokratická koalícia;6;54;0;0
133;Michal Bucek;Demokratická strana;Slovenská demokratická koalícia;10;61;0;0
134;Miroslav Toman;Demokratická strana;Slovenská demokratická koalícia;36;90;0;0
230;Vladimír Savèinskı;Demokratická strana;Slovenská demokratická koalícia;6;96;0;0
37;Karol Jenis;Demokratická strana;Strana obèianskeho porozumenia;4;58;0;0
40;Augustín Dobiš;Demokratická strana;Strana obèianskeho porozumenia;30;134;0;0
231;Ladislav Hromada;Demokratická strana;Strana obèianskeho porozumenia;7;62;0;0
319;Vojtech Demeš;Demokratická strana;Strana obèianskeho porozumenia;20;32;0;0
140;Milan Hudina;Demokratická únia Slovenska;Maïarské ¾udové hnutie za zmierenie a prosperitu -Magyar Népi Mozgalom a Megbékélésért és a Jólétért;11;5;0;0
3;Milan Kòako;Demokratická únia Slovenska;Slovenská demokratická koalícia;1;18;0;1
4;Vladimír Bajan;Demokratická únia Slovenska;Slovenská demokratická koalícia;2;53;0;1
5;Branislav Zahradník;Demokratická únia Slovenska;Slovenská demokratická koalícia;7;122;0;0
6;František Hirja;Demokratická únia Slovenska;Slovenská demokratická koalícia;10;143;0;0
41;Juraj Švec;Demokratická únia Slovenska;Slovenská demokratická koalícia;2;23;0;1
42;Eduard Kukan;Demokratická únia Slovenska;Slovenská demokratická koalícia;3;2;0;1
43;Milada Ondrejovièová;Demokratická únia Slovenska;Slovenská demokratická koalícia;8;99;0;0
44;Jozef Bachratı;Demokratická únia Slovenska;Slovenská demokratická koalícia;16;137;0;0
135;¼ubomír Harach;Demokratická únia Slovenska;Slovenská demokratická koalícia;2;15;0;1
136;¼udovít Èernák;Demokratická únia Slovenska;Slovenská demokratická koalícia;3;4;0;1
137;Tibor Šagát;Demokratická únia Slovenska;Slovenská demokratická koalícia;4;25;0;1
138;Eva Rusnáková;Demokratická únia Slovenska;Slovenská demokratická koalícia;5;64;0;1
139;Ján Ïurana;Demokratická únia Slovenska;Slovenská demokratická koalícia;6;67;0;0
232;Viliam Vaškoviè;Demokratická únia Slovenska;Slovenská demokratická koalícia;2;29;0;1
233;Roman Vavrík;Demokratická únia Slovenska;Slovenská demokratická koalícia;3;33;0;1
234;Ivan Rosival;Demokratická únia Slovenska;Slovenská demokratická koalícia;6;39;0;1
235;Alexej Ivanko;Demokratická únia Slovenska;Slovenská demokratická koalícia;10;46;0;0
236;Dušan Fedoroèko;Demokratická únia Slovenska;Slovenská demokratická koalícia;20;50;0;0
237;Jozef Anïal;Demokratická únia Slovenska;Slovenská demokratická koalícia;50;120;0;0
7;Katarína Tóthová;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;1;11;1;1
8;Augustín Marián Húska;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;2;10;1;1
9;Irena Belohorská;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;3;17;1;1
10;Marta Aibeková;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;4;26;1;1
12;Alena Gallovièová;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;34;137;1;0
13;Dagmar Gašparíková;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;35;117;1;0
45;Ivan Gašparoviè;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;1;2;1;1
46;O¾ga Keltošová;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;2;15;1;1
47;Peter Baco;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;3;12;1;1
48;Ivan Hudec;Koalícia Hnutie za demokratické Slovensko a Ro¾nícka strana Slovenska;Hnutie za demokratické Slovensko;5;22;1;1
