X.U.FEFF.again,party1,party2,order1,order2,change,minor,loyal,improveParty,improveParty2,improvePosition,origPartyDissolved,year1,minorMajor,minorMinor,majorMajor,majorMinor
František Dugovič,B-RRS,B-RRS,2,1,-1,1,1,0,0,1,0,1998,0,1,0,0
Ján Chlebák,B-RRS,B-RRS,3,3,0,1,1,0,0,1,0,1998,0,1,0,0
Milan Albertus,B-RRS,B-RRS,5,5,0,1,1,0,0,1,0,1998,0,1,0,0
Vladimír Kriška,B-RRS,B-RRS,7,9,2,1,1,0,0,0,0,1998,0,1,0,0
Peter Melich,B-RRS,B-RRS,9,11,2,1,1,0,0,0,0,1998,0,1,0,0
Mária Markuliaková,B-RRS,B-RRS,11,4,-7,1,1,0,0,1,0,1998,0,1,0,0
Mária Jakabová,B-RRS,B-RRS,12,10,-2,1,1,0,0,1,0,1998,0,1,0,0
Ondrej Janko,B-RRS,B-RRS,16,33,17,1,1,0,0,0,0,1998,0,1,0,0
Jozef Koči,B-RRS,B-RRS,17,18,1,1,1,0,0,0,0,1998,0,1,0,0
Adriana Grosingerová,B-RRS,SNJ,18,48,30,1,0,1,0,0,0,1998,0,1,0,0
Jaroslav Korpala,B-RRS,B-RRS,20,16,-4,1,1,0,0,1,0,1998,0,1,0,0
Mária Sojková,B-RRS,B-RRS,21,25,4,1,1,0,0,0,0,1998,0,1,0,0
Emil Kučerák,HTC,ĽB,13,137,124,1,0,1,1,0,1,1998,0,1,0,0
Vladimír Mečiar,HZDS,HZDS,1,1,0,0,1,0,0,1,0,1998,0,0,1,0
Ivan Gašparovič,HZDS,HZD,2,1,-1,0,0,0,0,1,0,1998,0,0,0,1
Sergej Kozlík,HZDS,HZDS,3,3,0,0,1,0,0,1,0,1998,0,0,1,0
Ján Gabriel,HZDS,HZDS,6,12,6,0,1,0,0,0,0,1998,0,0,1,0
Jozef Kalman,HZDS,ĽB,7,1,-6,0,0,0,0,1,0,1998,0,0,0,1
Vojtech Tkáč,HZDS,HZDS,8,5,-3,0,1,0,0,1,0,1998,0,0,1,0
Milan Cagala,HZDS,HZDS,9,34,25,0,1,0,0,0,0,1998,0,0,1,0
Katarína Tóthová,HZDS,HZDS,11,60,49,0,1,0,0,0,0,1998,0,0,1,0
Peter Baco,HZDS,HZDS,12,59,47,0,1,0,0,0,0,1998,0,0,1,0
Gustáv Krajči,HZDS,HZDS,14,17,3,0,1,0,0,0,0,1998,0,0,1,0
Tibor Cabaj,HZDS,HZDS,16,20,4,0,1,0,0,0,0,1998,0,0,1,0
Irena Belohorská,HZDS,HZDS,17,30,13,0,1,0,0,0,0,1998,0,0,1,0
Dušan Jarjabek,HZDS,HZDS,18,32,14,0,1,0,0,0,0,1998,0,0,1,0
Imrich Andrejčák,HZDS,HZDS,20,97,77,0,1,0,0,0,0,1998,0,0,1,0
Miroslav Maxon,HZDS,HZDS,23,26,3,0,1,0,0,0,0,1998,0,0,1,0
Ján Cuper,HZDS,HZDS,24,42,18,0,1,0,0,0,0,1998,0,0,1,0
Jozef Brhel,HZDS,HZDS,25,25,0,0,1,0,0,1,0,1998,0,0,1,0
Marta Aibeková,HZDS,HZD,26,3,-23,0,0,0,0,1,0,1998,0,0,0,1
Pavol Kačic,HZDS,HZDS,27,74,47,0,1,0,0,0,0,1998,0,0,1,0
Ján Danko,HZDS,HZDS,30,44,14,0,1,0,0,0,0,1998,0,0,1,0
Ján Jasovský,HZDS,HZDS,31,7,-24,0,1,0,0,1,0,1998,0,0,1,0
Ján Benčat,HZDS,HZD,35,4,-31,0,0,0,0,1,0,1998,0,0,0,1
Alojz Engliš,HZDS,HZDS,38,90,52,0,1,0,0,0,0,1998,0,0,1,0
Milan Rehák,HZDS,HZDS,40,18,-22,0,1,0,0,1,0,1998,0,0,1,0
Stanislav Husár,HZDS,HZDS,41,21,-20,0,1,0,0,1,0,1998,0,0,1,0
Marta Podhradská,HZDS,HZD,42,27,-15,0,0,0,0,1,0,1998,0,0,0,1
Ľudmila Mušková,HZDS,HZDS,43,13,-30,0,1,0,0,1,0,1998,0,0,1,0
Ivan Sýkora,HZDS,HZD,50,28,-22,0,0,0,0,1,0,1998,0,0,0,1
Janka Gantnerová,HZDS,HZDS,51,63,12,0,1,0,0,0,0,1998,0,0,1,0
Jozef Grapa,HZDS,HZD,67,7,-60,0,0,0,0,1,0,1998,0,0,0,1
Jozefína Obšitníková,HZDS,HZDS,70,93,23,0,1,0,0,0,0,1998,0,0,1,0
Ján Koršó,HZDS,HZD,77,5,-72,0,0,0,0,1,0,1998,0,0,0,1
Ľuboš Lackovič,HZDS,HZDS,87,50,-37,0,1,0,0,1,0,1998,0,0,1,0
Ján Dlhopolček,HZDS,HZDS,91,45,-46,0,1,0,0,1,0,1998,0,0,1,0
Jarmila Michalovová,HZDS,HZD,97,38,-59,0,0,0,0,1,0,1998,0,0,0,1
Andrej Bega,HZDS,HZDS,108,99,-9,0,1,0,0,1,0,1998,0,0,1,0
Ján Turňa,HZDS,HZDS,111,89,-22,0,1,0,0,1,0,1998,0,0,1,0
Dušan Smatana,HZDS,HZD,120,10,-110,0,0,0,0,1,0,1998,0,0,0,1
Eva Moravčíková,HZDS,HZDS,122,140,18,0,1,0,0,0,0,1998,0,0,1,0
Tibor Mikuš,HZDS,HZDS,127,8,-119,0,1,0,0,1,0,1998,0,0,1,0
Eva Grossingerová,HZDS,HZDS,133,116,-17,0,1,0,0,1,0,1998,0,0,1,0
Vladimír Pavelka,HZDS,HZDS,140,37,-103,0,1,0,0,1,0,1998,0,0,1,0
Štefan Lukáč,HZDS,SDPO,142,26,-116,0,0,0,0,1,0,1998,0,0,1,0
Jozef Ravasz,HZDS,ROISR,88,9,-79,0,0,0,0,1,0,1998,0,0,1,0
Jozef Studenič,HZDS,HZD,109,12,-97,0,0,0,0,1,0,1998,0,0,0,1
Milan Olexa,JSPS,ĽB,8,22,14,1,0,1,1,0,1,1998,0,1,0,0
Pavol Tausk,KSS,KSS,29,122,93,1,1,1,0,0,0,1998,0,1,0,0
Mikuláš Benko,KSS,KSS,84,30,-54,1,1,1,0,1,0,1998,0,1,0,0
Vladimír Ďaďo,KSS,KSS,1,3,2,1,1,1,0,0,0,1998,1,0,0,0
Ivan Hopta,KSS,KSS,2,2,0,1,1,1,0,1,0,1998,1,0,0,0
Jozef Ševc,KSS,KSS,6,1,-5,1,1,1,0,1,0,1998,1,0,0,0
Dušan Saksa,KSS,KSS,8,12,4,1,1,1,0,0,0,1998,1,0,0,0
Jozef Kriško,KSS,KSS,9,19,10,1,1,1,0,0,0,1998,1,0,0,0
Jozef Hrdlička,KSS,KSS,12,6,-6,1,1,1,0,1,0,1998,1,0,0,0
Miloslava Necpalová,KSS,KSS,14,150,136,1,1,1,0,0,0,1998,1,0,0,0
Ján Gregor,KSS,KSS,15,16,1,1,1,1,0,0,0,1998,1,0,0,0
Jozef Bošanský,KSS,KSS,16,23,7,1,1,1,0,0,0,1998,1,0,0,0
Anton Trebuľa,KSS,KSS,17,15,-2,1,1,1,0,1,0,1998,1,0,0,0
Mikuláš Juščík,KSS,KSS,18,9,-9,1,1,1,0,1,0,1998,1,0,0,0
Miroslav Samiec,KSS,KSS,21,33,12,1,1,1,0,0,0,1998,1,0,0,0
Zuzana Remetová,KSS,KSS,26,17,-9,1,1,1,0,1,0,1998,1,0,0,0
Ján Adamovič,KSS,KSS,27,27,0,1,1,1,0,1,0,1998,1,0,0,0
Jozef Fuček,KSS,KSS,32,26,-6,1,1,1,0,1,0,1998,1,0,0,0
Ján Karman,KSS,KSS,35,66,31,1,1,1,0,0,0,1998,1,0,0,0
Mária Marušicová,KSS,KSS,39,42,3,1,1,1,0,0,0,1998,1,0,0,0
Ján Ševc,KSS,KSS,43,45,2,1,1,1,0,0,0,1998,1,0,0,0
Milan Šebeň,KSS,KSS,48,86,38,1,1,1,0,0,0,1998,1,0,0,0
Milan Vredík,KSS,KSS,51,149,98,1,1,1,0,0,0,1998,1,0,0,0
František Kasanický,KSS,KSS,55,63,8,1,1,1,0,0,0,1998,1,0,0,0
Milan Šlapka,KSS,KSS,56,40,-16,1,1,1,0,1,0,1998,1,0,0,0
Peter Jakubčák,KSS,KSS,68,64,-4,1,1,1,0,1,0,1998,1,0,0,0
Viera Duchoslavová,KSS,KSS,70,28,-42,1,1,1,0,1,0,1998,1,0,0,0
Milan Ryban,KSS,KSS,74,108,34,1,1,1,0,0,0,1998,1,0,0,0
Ladislav Vojtko,KSS,KSS,85,62,-23,1,1,1,0,1,0,1998,1,0,0,0
Ivan Bugáň,KSS,KSS,89,96,7,1,1,1,0,0,0,1998,1,0,0,0
Milan Katuščák,KSS,KSS,98,47,-51,1,1,1,0,1,0,1998,1,0,0,0
Štefan Tatranský,KSS,KSS,100,18,-82,1,1,1,0,1,0,1998,1,0,0,0
Ján Fanči,KSS,KSS,105,125,20,1,1,1,0,0,0,1998,1,0,0,0
Július Makó,KSS,KSS,125,31,-94,1,1,1,0,1,0,1998,1,0,0,0
Samuel Zubo,KSS,KSS,5,10,5,1,1,1,0,0,0,1998,1,0,0,0
Martin Bujan,KSS,KSS,62,20,-42,1,1,1,0,1,0,1998,1,0,0,0
Vladimír Nociar,KSS,KSS,136,148,12,1,1,1,0,0,0,1998,1,0,0,0
Rudolf Horváth,MLHZP,ROISR,138,26,-112,1,0,1,1,1,1,1998,0,1,0,0
Eva Horváthová,MLHZP,ĽS,77,10,-67,1,0,0,1,1,1,1998,0,1,0,0
Milan Hudina,MLHZP,KSS,5,135,130,1,0,1,1,0,1,1998,1,0,0,0
Ján Garai,NASR,NOSNP,1,1,0,1,0,1,1,1,1,1998,0,1,0,0
Terézia Chlebová,NASR,ROSA,5,3,-2,1,0,1,1,1,1,1998,0,1,0,0
Marián Kollár,NS,HZD,5,20,15,1,0,1,1,0,1,1998,0,1,0,0
Miroslav Kočnár,NS,ROSA,6,1,-5,1,0,0,1,1,1,1998,0,1,0,0
Dušan Gál,NS,ROSA,28,14,-14,1,0,0,1,1,1,1998,0,1,0,0
Milan Fogaš,NS,ROSA,35,44,9,1,0,0,1,0,1,1998,0,1,0,0
Ján Riapoš,NS,ĽB,38,10,-28,1,0,0,1,1,1,1998,0,1,0,0
Zdeno Šuška,NS,ROSA,62,12,-50,1,0,0,1,1,1,1998,0,1,0,0
Pavel Derkay,NS,ANO,8,56,48,1,0,1,1,0,1,1998,1,0,0,0
Mikuláš Dzurinda,SDK,SDKÚ,1,1,0,0,0,0,1,1,1,1998,0,0,1,0
Eduard Kukan,SDK,SDKÚ,2,2,0,0,0,0,1,1,1,1998,0,0,1,0
František Mikloško,SDK,KDH,3,7,4,0,0,0,1,0,1,1998,0,0,1,0
Ivan Šimko,SDK,SDKÚ,6,4,-2,0,0,0,1,1,1,1998,0,0,1,0
Ján Rusnák,SDK,SDKÚ,7,16,9,0,0,0,1,0,1,1998,0,0,1,0
Ján Figeľ,SDK,KDH,10,2,-8,0,0,0,1,1,1,1998,0,0,1,0
Vladimír Palko,SDK,KDH,11,3,-8,0,0,0,1,1,1,1998,0,0,1,0
Peter Osuský,SDK,OKS,13,3,-10,0,0,0,1,1,1,1998,0,0,0,1
Milan Hort,SDK,SDKÚ,14,8,-6,0,0,0,1,1,1,1998,0,0,1,0
František Šebej,SDK,OKS,19,2,-17,0,0,0,1,1,1,1998,0,0,0,1
Július Brocka,SDK,KDH,21,5,-16,0,0,0,1,1,1,1998,0,0,1,0
Pavol Hrušovský,SDK,KDH,22,1,-21,0,0,0,1,1,1,1998,0,0,1,0
Peter Zajac,SDK,OKS,26,6,-20,0,0,0,1,1,1,1998,0,0,0,1
Ladislav Ambróš,SDK,SZS,28,2,-26,0,0,0,1,1,1,1998,0,0,0,1
Anna Záborská,SDK,KDH,32,9,-23,0,0,0,1,1,1,1998,0,0,1,0
Roman Vavrík,SDK,SDKÚ,33,9,-24,0,0,0,1,1,1,1998,0,0,1,0
Peter Ošváth,SDK,SDKÚ,36,29,-7,0,0,0,1,1,1,1998,0,0,1,0
